epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57368,2.67813,1.92895,0.7194,3.70472,2.95951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277778,0.00277778,0.075
2,2.99961,2.76191,1.75267,0.72972,3.65745,3.13684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607078,0.00607078,0.0449597
3,3.42604,2.74381,1.82494,0.72729,3.85395,3.04333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931978,0.00931978,0.0148753
4,3.90718,3.05528,1.53651,0.70154,4.19234,3.24537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,4.41316,3.01603,1.47907,0.68054,3.11653,3.16649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,4.93329,2.64235,1.55937,0.66284,2.89964,2.97509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,5.44386,2.792,1.42272,0.66017,2.92142,3.10611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,5.95816,2.65575,1.46659,0.63783,2.96157,2.98068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,6.46087,2.60745,1.28572,0.64461,2.99313,3.03993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,6.97249,2.50156,1.2002,0.61761,3.00469,2.91659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,7.48384,2.47755,1.25961,0.60844,2.86856,2.8968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,8.00605,2.43675,1.08833,0.57915,2.88324,2.84126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,8.5149,2.46965,1.107,0.57589,2.79711,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,9.02278,2.49539,1.06267,0.60503,2.7596,2.89971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,9.52681,2.42698,0.96181,0.59667,2.70261,2.82743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,10.0344,2.54443,0.92654,0.5681,2.65299,2.82768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,10.5417,2.5635,0.78024,0.60327,2.60752,2.85819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,11.0591,2.57133,0.69086,0.52986,2.69938,2.76039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,11.562,2.51105,0.79272,0.55327,2.64361,2.74214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,12.0657,2.4572,0.72051,0.56281,2.49111,2.69742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,12.5745,2.45581,0.78731,0.523,2.66466,2.74487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,13.0842,2.33147,0.79078,0.5219,2.56771,2.74022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,13.597,2.30715,0.74381,0.5081,2.47434,2.77768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
24,14.1093,2.39396,0.78246,0.52834,2.40114,2.68122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
25,14.6153,2.46731,0.6648,0.55623,2.48228,2.7668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
26,15.1252,2.46974,0.7001,0.45724,2.34595,2.76196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
27,15.626,2.4441,0.73728,0.52485,2.54562,2.79479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
28,16.1281,2.41641,0.6625,0.53488,2.49833,2.77886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
29,16.6266,2.16604,0.60442,0.49446,2.44443,2.60744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
30,17.1322,2.28856,0.63287,0.51247,2.4059,2.62246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
31,17.6353,2.34053,0.68907,0.48254,2.35011,2.63424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
32,18.1445,2.45481,0.62245,0.46849,2.38748,2.71668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007954,0.007954,0.007954
33,18.6468,2.36163,0.60344,0.54396,2.38949,2.69878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007888,0.007888,0.007888
34,19.1602,2.3058,0.53681,0.48382,2.41777,2.73025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
35,19.6629,2.22117,0.54306,0.51697,2.27626,2.69887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007756,0.007756,0.007756
36,20.1689,2.24279,0.57811,0.47651,2.3534,2.65352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
37,20.6701,2.22201,0.5311,0.50352,2.31879,2.59769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
38,21.1769,2.21124,0.54855,0.53892,2.35691,2.58242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007558,0.007558,0.007558
39,21.686,2.26702,0.61721,0.44466,2.30712,2.59841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007492,0.007492,0.007492
40,22.1888,2.22394,0.54583,0.46307,2.28987,2.56277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
41,22.6854,2.06361,0.61553,0.45209,2.35457,2.44215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
42,23.3119,2.1935,0.48145,0.50532,2.34022,2.53026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007294,0.007294,0.007294
43,23.821,2.14355,0.65765,0.50099,2.39794,2.5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
44,24.3311,2.11758,0.48364,0.47722,2.38298,2.55372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007162,0.007162,0.007162
45,24.835,2.15055,0.56961,0.54741,2.41762,2.50985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007096,0.007096,0.007096
46,25.3419,2.09213,0.38252,0.46323,2.2379,2.48121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
47,25.8402,2.15089,0.4755,0.48826,2.29677,2.52692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006964,0.006964,0.006964
48,26.3481,2.0801,0.48873,0.50354,2.28516,2.47884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006898,0.006898,0.006898
49,26.8487,2.04375,0.56421,0.45026,2.26455,2.47002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
50,27.3629,2.08957,0.55479,0.51986,2.37828,2.45052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006766,0.006766,0.006766
51,27.8637,2.0339,0.48359,0.44306,2.29883,2.36793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
52,28.3735,2.05359,0.53293,0.44098,2.23055,2.44236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
53,28.8751,2.03815,0.437,0.48423,2.29456,2.39879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006568,0.006568,0.006568
54,29.3842,1.94681,0.55444,0.51005,2.23701,2.34074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006502,0.006502,0.006502
55,29.8864,1.98825,0.40781,0.43595,2.18171,2.36202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
56,30.3992,2.0829,0.43406,0.46168,2.19453,2.44993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637,0.00637,0.00637
57,30.9005,2.04556,0.59471,0.4666,2.24723,2.38803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006304,0.006304,0.006304
58,31.4114,2.03596,0.54932,0.47441,2.24952,2.39632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
59,31.9122,2.01413,0.47341,0.44484,2.29983,2.38229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006172,0.006172,0.006172
60,32.418,2.01653,0.42868,0.44944,2.16874,2.35252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006106,0.006106,0.006106
61,32.9243,1.97339,0.42514,0.44853,2.13572,2.30819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
62,33.4305,1.90605,0.59532,0.45377,2.12826,2.25782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005974,0.005974,0.005974
63,33.9356,2.01095,0.43442,0.47865,2.13219,2.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005908,0.005908,0.005908
64,34.4472,1.9442,0.45382,0.53607,2.12285,2.29685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
65,34.9501,2.04774,0.46068,0.41486,2.14527,2.35877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005776,0.005776,0.005776
66,35.4566,2.04994,0.48948,0.44929,2.13868,2.3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571,0.00571,0.00571
67,35.9656,1.9769,0.40569,0.51483,2.06377,2.21643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
68,36.4758,2.01353,0.44711,0.44495,2.11555,2.31148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005578,0.005578,0.005578
69,36.9797,1.96288,0.50097,0.48169,2.15827,2.27144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005512,0.005512,0.005512
70,37.4828,1.96999,0.46906,0.46916,2.11708,2.23515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
71,37.9837,2.02597,0.50429,0.45502,2.10132,2.31699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0.00538,0.00538
72,38.4988,1.94116,0.57117,0.46555,2.12318,2.2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005314,0.005314,0.005314
73,39.0011,1.90979,0.44612,0.43996,2.0979,2.24544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
74,39.5098,1.88215,0.49702,0.46387,2.03972,2.22438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005182,0.005182,0.005182
75,40.0112,1.90544,0.37995,0.44283,2.09651,2.18279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005116,0.005116,0.005116
76,40.524,1.91378,0.3966,0.44696,2.00027,2.22858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
77,41.0279,1.85871,0.32916,0.41902,1.87045,2.15774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004984,0.004984,0.004984
78,41.5499,1.86562,0.38729,0.43274,1.9622,2.16226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004918,0.004918,0.004918
79,42.0638,1.90968,0.3346,0.44086,2.03236,2.22104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
80,42.5936,1.91287,0.40746,0.46806,1.94582,2.20112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004786,0.004786,0.004786
81,43.1028,1.89439,0.42727,0.38367,1.90223,2.13978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472,0.00472,0.00472
82,43.6192,1.81068,0.33869,0.4179,1.84973,2.13213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
83,44.1319,1.77841,0.36134,0.43246,1.90194,2.1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004588,0.004588,0.004588
84,44.6382,1.88477,0.35728,0.48204,1.95864,2.16344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004522,0.004522,0.004522
85,45.1412,1.78256,0.35214,0.4448,1.94179,2.16687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
86,45.6496,1.83801,0.35384,0.41037,1.86473,2.14292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439,0.00439,0.00439
87,46.1538,1.75091,0.39992,0.4245,1.87886,2.07627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004324,0.004324,0.004324
88,46.6628,1.85449,0.33621,0.48191,1.89154,2.19196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
89,47.2954,1.82067,0.3504,0.43005,1.79847,2.12706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004192,0.004192,0.004192
90,47.8138,1.75979,0.32904,0.39105,1.73475,2.07608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004126,0.004126,0.004126
91,48.3246,1.85553,0.32647,0.43131,1.80685,2.10338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
92,48.838,1.75966,0.32078,0.35631,1.67821,2.04906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003994,0.003994,0.003994
93,49.3485,1.823,0.37073,0.43927,1.87545,2.08261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003928,0.003928,0.003928
