epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11882,2.95884,2.01594,0.7276,4.28649,3.13987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277778,0.00277778,0.075
2,3.66328,2.81875,1.92538,0.7122,3.83369,3.1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607078,0.00607078,0.0449597
3,4.20899,3.20757,1.55863,0.7023,4.51736,3.3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931978,0.00931978,0.0148753
4,4.74385,3.04574,1.68056,0.7126,4.56017,3.18758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,5.29969,3.15667,1.92134,0.71084,4.06758,3.18632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,5.85477,2.82557,1.60025,0.69042,3.36002,3.04846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,6.39334,2.86042,1.58515,0.68715,3.07901,3.03288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,6.94219,2.6202,1.64343,0.66357,3.03631,2.85222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,7.50661,2.77527,1.52628,0.64701,2.96363,2.88987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,8.06134,2.83995,1.55695,0.62736,3.066,2.96608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,8.60431,2.58942,1.49831,0.61894,3.06111,2.72484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,9.15276,2.62159,1.64776,0.59687,3.08853,2.86272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,9.69477,2.43274,1.34844,0.59079,3.03191,2.74884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,10.2543,2.57697,1.22603,0.56694,3.10837,2.85007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,10.8056,2.50307,1.24038,0.63293,2.91571,2.79348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,11.3569,2.37622,1.23522,0.65362,3.00986,2.78102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,11.8924,2.40519,1.06916,0.61432,3.01984,2.80555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,12.437,2.32316,1.07578,0.58969,2.9951,2.67662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,12.9762,2.33905,1.03311,0.61444,3.10747,2.72475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,13.5709,2.25825,1.09981,0.57116,2.96499,2.65157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,14.1603,2.33936,1.2742,0.53609,3.035,2.65573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,14.7128,2.13754,1.03759,0.54324,3.05973,2.64846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,15.2437,2.17226,1.01377,0.56265,2.99461,2.58746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
24,15.7831,2.23,0.75131,0.50507,2.89195,2.65214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
25,16.3094,2.1934,0.89732,0.55225,2.96949,2.55115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
