epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.964228,2.65737,2.48194,0.72791,3.56192,2.76251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2,1.35964,2.67585,1.92294,0.71651,3.6684,2.7137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331133,0.00331133,0.069978
3,1.83984,2.60496,2.04637,0.73615,3.41456,2.80946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657867,0.00657867,0.039912
4,2.26053,2.88678,1.97705,0.73518,3.7187,3.17882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,2.52027,2.82243,2.24423,0.7428,4.17829,2.91125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,2.88665,2.7281,1.94507,0.73003,4.08257,2.74887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,3.13841,2.97193,2.42613,0.73898,3.62295,3.10758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,3.35803,2.41478,2.13371,0.74191,3.38979,2.64465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,3.59486,2.75672,2.22839,0.74116,4.13744,2.86327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,3.83494,2.70953,2.19049,0.73649,3.15997,2.94979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,4.04479,3.07309,2.60906,0.70826,3.91267,3.12821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,4.26342,2.77781,2.22464,0.77306,3.62976,2.99956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,4.51544,2.64744,1.63161,0.70858,3.95847,2.75874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
