新檔名,來源資料夾,原始圖片檔名,原始標註檔名
train_0001,train_crop.yolov11/train,100_jpg.rf.17af98847b9dfb2177f01c295676039e.jpg,100_jpg.rf.17af98847b9dfb2177f01c295676039e.txt
train_0002,train_crop.yolov11/train,102_jpg.rf.cd8c16a69e96f3e29a131aa0b0250a71.jpg,102_jpg.rf.cd8c16a69e96f3e29a131aa0b0250a71.txt
train_0003,train_crop.yolov11/train,103_jpg.rf.305359734e15d95a42392b1cb43ebe2f.jpg,103_jpg.rf.305359734e15d95a42392b1cb43ebe2f.txt
train_0004,train_crop.yolov11/train,106_jpg.rf.6700f5ec7833ecc914d3c97f0defa382.jpg,106_jpg.rf.6700f5ec7833ecc914d3c97f0defa382.txt
train_0005,train_crop.yolov11/train,107_jpg.rf.5788931bb93d486be3ca54c438012a9c.jpg,107_jpg.rf.5788931bb93d486be3ca54c438012a9c.txt
train_0006,train_crop.yolov11/train,10_jpg.rf.8a0d38e749129d912d2d7ff2f2ac4e10.jpg,10_jpg.rf.8a0d38e749129d912d2d7ff2f2ac4e10.txt
train_0007,train_crop.yolov11/train,110_jpg.rf.eb8fcaf10ce4c488c738fe89acb577d7.jpg,110_jpg.rf.eb8fcaf10ce4c488c738fe89acb577d7.txt
train_0008,train_crop.yolov11/train,112_jpg.rf.7fcc5ad9a6572131a9b9458dba4fc956.jpg,112_jpg.rf.7fcc5ad9a6572131a9b9458dba4fc956.txt
train_0009,train_crop.yolov11/train,112_jpg.rf.8a0fc1919780af5ddf1b7f6a85bf53cb.jpg,112_jpg.rf.8a0fc1919780af5ddf1b7f6a85bf53cb.txt
train_0010,train_crop.yolov11/train,113_jpg.rf.22365cd56c09932b792fcb52066f5b29.jpg,113_jpg.rf.22365cd56c09932b792fcb52066f5b29.txt
train_0011,train_crop.yolov11/train,114_jpg.rf.724154b813e395bb75df309b5b896e17.jpg,114_jpg.rf.724154b813e395bb75df309b5b896e17.txt
