epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47104,1.61085,2.35861,1.77845,0.02001,0.9697,0.44052,0.12171,2.02149,2.68735,2.14661,0.000314815,0.000314815,0.0688333
2,4.63679,1.28204,1.60859,1.44797,0.0176,1,0.79025,0.27851,1.8604,2.43875,1.83734,0.00064387,0.00064387,0.0358291
3,5.79698,1.35728,1.46851,1.51674,0.77859,0.26657,0.68652,0.32308,1.53226,2.24394,1.56879,0.000968526,0.000968526,0.00282038
4,6.95502,1.30388,1.34809,1.43317,0.85479,0.87879,0.91656,0.41872,1.62425,1.61276,1.51216,0.0009802,0.0009802,0.0009802
5,8.10496,1.23263,1.27003,1.38327,0.89482,0.89394,0.9341,0.45398,1.67495,1.50635,1.81795,0.0009736,0.0009736,0.0009736
6,9.25255,1.20334,1.20554,1.36766,0.81791,0.9697,0.93213,0.55256,1.37393,1.3817,1.39566,0.000967,0.000967,0.000967
7,10.4035,1.20998,1.22298,1.37476,0.89321,0.89394,0.93954,0.54543,1.40913,1.45323,1.37116,0.0009604,0.0009604,0.0009604
8,11.5394,1.25123,1.26182,1.40241,0.82412,0.87879,0.91519,0.44032,1.70752,1.67686,1.5527,0.0009538,0.0009538,0.0009538
9,12.6976,1.12697,1.1516,1.28918,0.82599,0.93499,0.92132,0.57933,1.34917,1.28854,1.35846,0.0009472,0.0009472,0.0009472
10,13.847,1.15753,1.1344,1.31122,0.83115,0.895,0.91768,0.45712,1.75023,1.33424,1.56924,0.0009406,0.0009406,0.0009406
11,14.9849,1.17556,1.08233,1.30309,0.79517,0.92424,0.90746,0.38744,1.89935,1.43431,1.76411,0.000934,0.000934,0.000934
12,16.146,1.1729,1.09577,1.29392,0.85332,0.96958,0.94956,0.57751,1.33601,1.19769,1.29574,0.0009274,0.0009274,0.0009274
13,17.3026,1.24101,1.07067,1.3469,0.9123,0.94575,0.95228,0.46922,1.76406,1.31391,1.61046,0.0009208,0.0009208,0.0009208
14,18.4402,1.12186,1.05014,1.3029,0.87565,1,0.95553,0.54525,1.5083,1.1223,1.40623,0.0009142,0.0009142,0.0009142
15,19.5776,1.12059,1.03587,1.29219,0.85785,1,0.95088,0.51121,1.59575,1.4096,1.55914,0.0009076,0.0009076,0.0009076
16,20.7324,1.10659,1.0387,1.29353,0.84479,0.98968,0.94215,0.55311,1.41291,1.42599,1.51743,0.000901,0.000901,0.000901
17,21.8739,1.0788,1.02243,1.22882,0.89527,0.90909,0.9597,0.58929,1.2912,1.05878,1.29344,0.0008944,0.0008944,0.0008944
18,23.0162,1.0776,0.96375,1.25243,0.91805,0.84872,0.96242,0.60229,1.24494,1.10684,1.25449,0.0008878,0.0008878,0.0008878
19,24.1687,1.07105,0.96758,1.23465,0.80959,0.70869,0.84514,0.52842,1.26828,1.455,1.30758,0.0008812,0.0008812,0.0008812
20,25.2937,1.10974,1.00201,1.27506,0.91981,0.86907,0.93801,0.59126,1.24217,1.25447,1.22868,0.0008746,0.0008746,0.0008746
21,26.4352,1.09992,0.95655,1.26497,0.89729,0.92659,0.96446,0.63567,1.18847,0.88717,1.20164,0.000868,0.000868,0.000868
22,27.5892,1.06152,0.9298,1.23395,0.88951,0.95455,0.97728,0.73789,0.90622,0.87519,1.06997,0.0008614,0.0008614,0.0008614
23,28.7471,1.01027,0.8969,1.25165,0.87246,0.93939,0.96841,0.64148,1.14989,0.88523,1.21811,0.0008548,0.0008548,0.0008548
24,29.8704,1.04174,0.92499,1.22592,0.84857,0.9697,0.96687,0.68721,1.07493,0.83559,1.17288,0.0008482,0.0008482,0.0008482
