epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35214,1.85263,2.00833,0.62666,1.62145,2.12031,0.16992,0.57143,0.17848,0.03199,0.33275,0.71429,0.41327,0.1034,2.64918,3.01002,0.52811,9.5809,3.1696,0.000285714,0.000285714,0.0717143
2,4.22046,1.44587,1.51655,0.54679,1.11444,1.63421,0.32444,0.63265,0.32116,0.0747,0.33352,0.73469,0.44139,0.11587,2.7745,2.61234,0.35777,10.6326,4.34419,0.000614962,0.000614962,0.0387102
3,5.07896,1.51424,1.01221,0.58723,1.07644,1.73188,0.3475,0.2449,0.24883,0.05561,0.48066,0.53061,0.48395,0.15989,2.99656,2.4156,0.36582,3.8518,4.77086,0.00093981,0.00093981,0.00570171
4,5.93726,1.57056,0.89267,0.59321,1.01064,1.80137,0.37892,0.44898,0.33136,0.07923,0.47806,0.63265,0.53139,0.2908,2.78254,2.14691,0.42366,2.00195,4.20401,0.0009802,0.0009802,0.0009802
5,6.7839,1.47909,0.8223,0.5848,1.02429,1.68485,0.5716,0.67347,0.65338,0.16672,0.6075,0.71429,0.61388,0.31906,2.55104,2.03236,0.42179,2.3232,3.55346,0.0009736,0.0009736,0.0009736
6,7.64313,1.39657,0.72403,0.57409,0.92577,1.53203,0.78816,0.91124,0.91782,0.53726,0.79963,0.8959,0.93197,0.49184,1.4142,1.72795,0.36712,2.05907,1.68144,0.000967,0.000967,0.000967
7,8.49348,1.37482,0.75133,0.58882,0.88555,1.54459,0.88207,0.87755,0.92733,0.47524,0.84727,0.83673,0.89682,0.52758,1.63172,1.62375,0.36078,1.95164,1.94193,0.0009604,0.0009604,0.0009604
8,9.33834,1.31445,0.61708,0.5469,0.91063,1.52286,0.82026,0.93144,0.90398,0.44532,0.82026,0.93144,0.91224,0.71011,1.69837,1.05387,0.3467,1.77837,1.94083,0.0009538,0.0009538,0.0009538
9,10.1892,1.34826,0.56503,0.54016,0.89171,1.52839,0.75972,0.89796,0.86644,0.42878,0.77953,0.91837,0.90067,0.70499,1.66176,0.98462,0.34706,1.56889,1.83715,0.0009472,0.0009472,0.0009472
10,11.0368,1.3439,0.47024,0.59505,0.83594,1.48184,0.81287,0.88661,0.91891,0.47862,0.80478,0.89796,0.93555,0.73339,1.63398,0.93619,0.34153,2.00313,1.87209,0.0009406,0.0009406,0.0009406
11,11.9019,1.28137,0.45718,0.56513,0.83471,1.46857,0.93246,0.84533,0.92961,0.47779,0.93246,0.84533,0.93661,0.77502,1.63714,0.66293,0.35125,1.34214,1.7653,0.000934,0.000934,0.000934
12,12.749,1.32117,0.45814,0.52505,0.93471,1.48162,0.87165,0.83167,0.87189,0.43739,0.85087,0.81513,0.8589,0.64465,1.6645,0.99413,0.34588,1.06359,1.73522,0.0009274,0.0009274,0.0009274
13,13.5845,1.28388,0.44288,0.49311,0.77592,1.43764,0.8934,0.85522,0.88825,0.44814,0.8934,0.85522,0.90739,0.72048,1.63158,0.93552,0.34521,0.9753,1.68301,0.0009208,0.0009208,0.0009208
14,14.4295,1.20118,0.45292,0.48099,0.76684,1.3873,0.89298,0.91837,0.90553,0.51977,0.89298,0.91837,0.92942,0.85661,1.44873,0.59438,0.33554,0.97032,1.54562,0.0009142,0.0009142,0.0009142
15,15.2845,1.28234,0.42269,0.53352,0.84121,1.46479,0.93363,0.91837,0.91398,0.56404,0.93363,0.91837,0.92586,0.85769,1.32787,0.66027,0.31354,1.12683,1.43249,0.0009076,0.0009076,0.0009076
16,16.1344,1.24657,0.35724,0.48917,0.86239,1.39933,0.91651,0.91837,0.91211,0.50964,0.91651,0.91837,0.91283,0.81742,1.50461,0.73658,0.30166,1.084,1.51744,0.000901,0.000901,0.000901
17,16.9729,1.23685,0.35862,0.52246,0.78756,1.42116,0.91414,0.86926,0.91648,0.47667,0.91414,0.86926,0.91952,0.80245,1.58809,0.7611,0.3099,0.88511,1.60014,0.0008944,0.0008944,0.0008944
18,17.812,1.17975,0.29325,0.50813,0.7618,1.36364,0.86016,0.87876,0.92773,0.53865,0.86016,0.87876,0.94457,0.86872,1.54051,0.57125,0.30706,0.79759,1.55977,0.0008878,0.0008878,0.0008878
19,18.6527,1.163,0.29552,0.51822,0.77648,1.36272,0.86653,0.92758,0.93784,0.52018,0.86653,0.92758,0.93784,0.85428,1.58601,0.54973,0.29334,0.7846,1.57109,0.0008812,0.0008812,0.0008812
20,19.4858,1.15464,0.33019,0.47956,0.74069,1.3777,0.86018,0.87888,0.91614,0.47473,0.86018,0.87888,0.91218,0.86936,1.6083,0.34711,0.26415,0.81945,1.6357,0.0008746,0.0008746,0.0008746
21,20.3255,1.13331,0.28381,0.41221,0.70079,1.36346,0.86785,0.93817,0.92562,0.54529,0.86785,0.93817,0.92354,0.88559,1.4166,0.29975,0.25433,0.74769,1.46364,0.000868,0.000868,0.000868
22,21.1769,1.18381,0.23357,0.47476,0.73844,1.38396,0.93416,0.86873,0.90699,0.47898,0.93416,0.86873,0.90636,0.87833,1.52774,0.32718,0.24541,0.76023,1.48668,0.0008614,0.0008614,0.0008614
23,22.0185,1.14165,0.2376,0.43721,0.67558,1.30798,0.89889,0.93878,0.91602,0.48086,0.89889,0.93878,0.91426,0.82132,1.61537,0.49343,0.21756,0.81028,1.60022,0.0008548,0.0008548,0.0008548
24,22.8579,1.17487,0.30199,0.462,0.73408,1.34042,0.86509,0.95918,0.91728,0.52411,0.86509,0.95918,0.92657,0.77431,1.39618,0.5845,0.21677,0.73251,1.45971,0.0008482,0.0008482,0.0008482
25,23.6962,1.15607,0.27093,0.433,0.7206,1.33581,0.89637,0.93878,0.92406,0.49607,0.89637,0.93878,0.93622,0.88522,1.48769,0.37093,0.22892,0.75447,1.55491,0.0008416,0.0008416,0.0008416
26,24.5433,1.14686,0.27741,0.44204,0.72077,1.37348,0.93551,0.88824,0.90476,0.43469,0.93551,0.88824,0.92194,0.88562,1.6162,0.3708,0.26021,0.83477,1.61961,0.000835,0.000835,0.000835
27,25.3869,1.06699,0.22569,0.43658,0.67297,1.32779,0.91566,0.79592,0.82802,0.48337,0.91566,0.79592,0.8733,0.81645,1.41182,0.48253,0.27797,1.01786,1.41158,0.0008284,0.0008284,0.0008284
28,26.2395,1.10893,0.26162,0.3943,0.6664,1.28953,0.93719,0.91365,0.90989,0.59229,0.93719,0.91365,0.92313,0.90214,1.1685,0.30821,0.23135,0.74631,1.25065,0.0008218,0.0008218,0.0008218
29,27.0863,1.06022,0.21877,0.39915,0.66323,1.27383,0.9372,0.91377,0.92368,0.60301,0.92147,0.95788,0.93808,0.9143,1.21064,0.2994,0.21632,0.72317,1.28967,0.0008152,0.0008152,0.0008152
30,27.9294,1.0236,0.2082,0.37294,0.59395,1.25848,0.88462,0.95918,0.93247,0.54568,0.90361,0.97959,0.93811,0.90876,1.37037,0.30246,0.19473,0.71261,1.45377,0.0008086,0.0008086,0.0008086
31,28.7778,1.08313,0.20036,0.38878,0.63677,1.29795,0.93858,0.93564,0.94818,0.52595,0.93858,0.93564,0.94806,0.91041,1.50319,0.32371,0.19753,0.68114,1.5624,0.000802,0.000802,0.000802
32,29.6248,1.20036,0.26899,0.45185,0.73011,1.37534,0.92928,0.95918,0.94792,0.57447,0.92928,0.95918,0.95242,0.94393,1.35641,0.3316,0.18301,0.65052,1.40839,0.0007954,0.0007954,0.0007954
33,30.4671,1.1011,0.25458,0.38796,0.62713,1.31224,0.92052,0.97959,0.95161,0.61633,0.92052,0.97959,0.95301,0.9429,1.2734,0.30078,0.17649,0.66796,1.35639,0.0007888,0.0007888,0.0007888
34,31.3193,1.08531,0.20143,0.37579,0.69256,1.2902,0.87991,0.89721,0.95356,0.59891,0.87991,0.89721,0.95356,0.9183,1.36706,0.33911,0.18949,0.75309,1.43709,0.0007822,0.0007822,0.0007822
35,32.1623,1.01061,0.24581,0.38661,0.65829,1.25401,0.91726,0.90509,0.96632,0.65845,0.93082,0.91837,0.9667,0.93277,1.18132,0.34402,0.17903,0.69142,1.24418,0.0007756,0.0007756,0.0007756
36,33.0196,1.01311,0.23598,0.35366,0.63461,1.28619,0.95671,0.9021,0.95251,0.63089,0.95671,0.9021,0.95672,0.92251,1.19758,0.25358,0.17521,0.66651,1.27296,0.000769,0.000769,0.000769
37,33.8589,1.07188,0.22886,0.39205,0.68211,1.31735,0.93622,0.8987,0.92067,0.51879,0.93622,0.8987,0.93258,0.88226,1.46892,0.28698,0.18386,0.75475,1.49848,0.0007624,0.0007624,0.0007624
38,34.7018,0.99324,0.20513,0.38386,0.62542,1.26614,0.89102,0.91837,0.90922,0.51716,0.89102,0.91837,0.92495,0.88913,1.47506,0.30546,0.17917,0.757,1.51955,0.0007558,0.0007558,0.0007558
39,35.5417,1.07396,0.2196,0.41996,0.69278,1.30537,0.92997,0.87755,0.90783,0.5623,0.92997,0.87755,0.91765,0.88369,1.2972,0.34927,0.17714,0.80221,1.34693,0.0007492,0.0007492,0.0007492
40,36.3901,1.01962,0.20813,0.37073,0.63936,1.26082,0.93115,0.87755,0.89144,0.53747,0.93115,0.87755,0.89555,0.85065,1.32628,0.33041,0.16686,0.78126,1.3648,0.0007426,0.0007426,0.0007426
41,37.2331,1.01643,0.2081,0.38785,0.66539,1.26447,0.93166,0.87755,0.89511,0.49163,0.93166,0.87755,0.90466,0.83918,1.4917,0.34428,0.15848,0.78448,1.52141,0.000736,0.000736,0.000736
42,38.0706,0.97614,0.21981,0.36525,0.66731,1.26074,0.93599,0.89537,0.9443,0.51001,0.93599,0.89537,0.94701,0.92735,1.474,0.23309,0.13717,0.71416,1.52502,0.0007294,0.0007294,0.0007294
43,38.9084,1.0423,0.1873,0.3729,0.64659,1.26648,0.93762,0.92022,0.94494,0.62902,0.93762,0.92022,0.95668,0.93541,1.15729,0.19586,0.13284,0.66777,1.25519,0.0007228,0.0007228,0.0007228
