epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7146,1.7884,2.14622,0.69284,1.91589,1.83491,0.47184,0.38296,0.46298,0.18061,0.40215,0.57143,0.50781,0.11779,1.96167,2.74018,0.46021,2.82235,2.01213,0.000320988,0.000320988,0.0682222
2,5.24727,1.48352,1.92285,0.68478,1.47669,1.57285,0.76604,0.73504,0.8618,0.48327,0.71422,0.71429,0.68949,0.22832,1.51839,2.5525,0.4315,1.04681,1.95603,0.000650002,0.000650002,0.0352179
3,6.75932,1.44064,1.61019,0.6724,1.36524,1.51248,0.80353,0.83673,0.89576,0.56247,0.66343,0.71429,0.63054,0.27625,1.3176,2.31233,0.44129,0.95123,1.72142,0.000974617,0.000974617,0.00220919
4,8.29348,1.46438,1.32436,0.65468,1.22921,1.54978,0.76801,0.87831,0.86909,0.54769,0.76831,0.85714,0.8599,0.5459,1.30062,1.46537,0.49595,0.94071,1.69082,0.0009802,0.0009802,0.0009802
5,9.82439,1.43683,1.08942,0.64084,1.14059,1.47091,0.83489,0.7551,0.84945,0.58728,0.92152,0.7551,0.86933,0.63241,1.07529,0.98371,0.54899,0.97558,1.3729,0.0009736,0.0009736,0.0009736
6,11.3293,1.39737,0.85663,0.65581,1.19696,1.48362,0.87047,0.82295,0.8956,0.55386,0.87047,0.82295,0.90653,0.69365,1.11527,0.91918,0.56363,1.00915,1.35003,0.000967,0.000967,0.000967
7,12.8564,1.46027,0.9039,0.6352,1.18619,1.52993,0.77465,0.91837,0.91806,0.59866,0.83938,0.93878,0.93676,0.76285,1.10438,0.81512,0.56264,0.9035,1.32624,0.0009604,0.0009604,0.0009604
8,14.3692,1.36813,0.78213,0.6377,1.17194,1.45373,0.84551,0.93878,0.9529,0.63923,0.93275,0.84929,0.93988,0.7253,1.0427,0.79575,0.6217,0.77949,1.28238,0.0009538,0.0009538,0.0009538
9,15.8934,1.30623,0.72137,0.6439,1.07725,1.38274,0.79008,0.92179,0.88202,0.58622,0.79008,0.92179,0.89321,0.799,1.07498,0.50657,0.57958,0.81739,1.28871,0.0009472,0.0009472,0.0009472
10,17.4208,1.26783,0.75374,0.63104,1.01131,1.35424,0.81205,0.89796,0.87523,0.62216,0.81205,0.89796,0.88389,0.80817,0.98089,0.50319,0.57137,0.8267,1.25019,0.0009406,0.0009406,0.0009406
11,18.9607,1.23285,0.63424,0.61189,1.0297,1.33076,0.81212,0.88222,0.88672,0.6159,0.79349,0.86263,0.85967,0.76155,1.15335,0.61193,0.58957,0.82736,1.33814,0.000934,0.000934,0.000934
12,20.4816,1.32325,0.58997,0.62839,1.0268,1.37083,0.8775,0.87715,0.92946,0.65757,0.85304,0.85714,0.91091,0.83233,1.0504,0.47402,0.55132,0.77455,1.28656,0.0009274,0.0009274,0.0009274
13,22.0332,1.22119,0.47526,0.59038,0.95223,1.30602,0.82693,0.9752,0.93912,0.68043,0.82693,0.9752,0.94411,0.85844,1.00571,0.43674,0.53973,0.75964,1.29174,0.0009208,0.0009208,0.0009208
14,23.6945,1.21883,0.51036,0.58706,0.99776,1.34145,0.90712,0.95918,0.9335,0.6354,0.90712,0.95918,0.94261,0.83066,1.03183,0.48084,0.53473,0.85897,1.3539,0.0009142,0.0009142,0.0009142
15,25.244,1.23346,0.49214,0.59329,1.09378,1.32033,0.89427,0.95918,0.94024,0.6473,0.89427,0.95918,0.95535,0.8067,0.99644,0.46254,0.51277,0.80778,1.27471,0.0009076,0.0009076,0.0009076
