epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79104,1.87715,1.92837,0.58374,1.8448,2.07865,0.28247,0.49816,0.33605,0.10747,0.29352,0.63265,0.34204,0.09989,2.07211,2.6343,0.35468,5.18416,2.38875,0.000320988,0.000320988,0.0682222
2,5.35809,1.58125,1.32052,0.46577,1.47154,1.80104,0.73519,0.62337,0.75872,0.21573,0.39148,0.61224,0.34216,0.21188,2.25724,2.74213,0.33795,2.4198,2.64327,0.000650002,0.000650002,0.0352179
3,6.88913,1.49484,1.14883,0.52374,1.2631,1.68094,0.79824,0.73469,0.82522,0.31356,0.6224,0.77372,0.65445,0.42167,1.97861,1.83281,0.3226,1.29997,2.12622,0.000974617,0.000974617,0.00220919
4,8.41605,1.5454,1.16707,0.58024,1.17446,1.71124,0.69329,0.83673,0.79313,0.28527,0.75279,0.83673,0.83242,0.63995,2.12352,0.95462,0.47976,1.18666,2.22331,0.0009802,0.0009802,0.0009802
5,9.92144,1.44012,0.96549,0.50781,1.1268,1.67008,0.83878,0.95918,0.94942,0.42986,0.83878,0.95918,0.94304,0.8216,1.71914,0.78737,0.40955,1.30369,1.85291,0.0009736,0.0009736,0.0009736
6,11.4221,1.32654,0.83726,0.51321,0.98825,1.61344,0.9001,0.91938,0.96001,0.43694,0.9001,0.91938,0.96001,0.82687,1.66838,0.72008,0.4301,0.88598,1.78919,0.000967,0.000967,0.000967
7,12.9613,1.44257,0.71074,0.50558,1.0108,1.63518,0.79882,0.77551,0.84915,0.34362,0.82017,0.79592,0.87913,0.7212,1.89357,0.61991,0.4506,1.05843,2.01719,0.0009604,0.0009604,0.0009604
8,14.4848,1.39401,0.71354,0.53534,0.95136,1.61364,0.88259,0.95918,0.96766,0.5349,0.88259,0.95918,0.96803,0.81913,1.34838,0.63441,0.43697,0.73074,1.4964,0.0009538,0.0009538,0.0009538
9,16.0102,1.39816,0.56017,0.50555,0.94349,1.58033,0.89454,0.86561,0.91161,0.31862,0.91558,0.88542,0.95011,0.86165,1.96207,0.64933,0.34913,1.02917,1.96465,0.0009472,0.0009472,0.0009472
10,17.4954,1.34399,0.59256,0.50421,0.97481,1.52037,0.84035,0.89796,0.89978,0.31945,0.93748,0.9181,0.95059,0.87509,1.9886,0.56838,0.35093,1.05335,2.00477,0.0009406,0.0009406,0.0009406
