epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46686,1.71471,1.94084,0.58546,1.42674,1.87868,0.32843,0.42857,0.28198,0.0613,0.40495,0.42857,0.33867,0.1334,2.9126,2.92288,0.35111,4.21543,3.80013,0.000320988,0.000320988,0.0682222
2,5.04378,1.34241,1.34015,0.46552,1.05871,1.51549,0.83115,0.98214,0.94965,0.49777,0.71824,0.85714,0.78671,0.43685,1.57768,1.76183,0.30334,1.05494,1.76644,0.000650002,0.000650002,0.0352179
3,6.61003,1.43827,0.96903,0.5554,1.00676,1.56113,0.86946,0.95154,0.95245,0.41465,0.82056,0.89832,0.892,0.61121,1.83185,1.01141,0.35548,0.91137,2.05533,0.000974617,0.000974617,0.00220919
4,8.14726,1.47651,0.92213,0.58178,0.97971,1.58117,0.83796,0.83121,0.88569,0.44729,0.86185,0.83929,0.92468,0.77031,1.68809,0.87066,0.47192,1.20468,1.86644,0.0009802,0.0009802,0.0009802
5,9.69509,1.39316,0.79356,0.55784,0.92046,1.61671,0.78755,0.80357,0.84745,0.48127,0.78755,0.80357,0.86103,0.7137,1.51246,0.80427,0.39515,0.9828,1.5302,0.0009736,0.0009736,0.0009736
6,11.1995,1.33321,0.8012,0.51906,0.85051,1.50756,0.83601,0.83929,0.90267,0.47074,0.78977,0.83929,0.89269,0.67184,1.72094,1.09411,0.35422,0.94786,1.71567,0.000967,0.000967,0.000967
7,12.688,1.30023,0.7026,0.52606,0.85282,1.47419,0.83774,0.96429,0.94453,0.45571,0.79104,0.91071,0.85523,0.57762,1.78788,0.81517,0.54202,1.03401,1.71531,0.0009604,0.0009604,0.0009604
8,14.1704,1.38078,0.53933,0.51656,0.86967,1.53442,0.91489,0.95983,0.98445,0.53017,0.93185,0.97672,0.98742,0.86059,1.61782,0.51972,0.38139,0.72829,1.64333,0.0009538,0.0009538,0.0009538
9,15.668,1.35499,0.48963,0.46245,0.8318,1.52202,0.97396,0.92857,0.98638,0.56417,0.99269,0.94643,0.99134,0.90297,1.66087,0.44667,0.34943,0.68985,1.58796,0.0009472,0.0009472,0.0009472
10,17.1718,1.28339,0.59332,0.51078,0.82064,1.42708,0.9813,0.91071,0.98861,0.54709,0.97292,0.94643,0.99214,0.93626,1.69769,0.35342,0.35101,0.69743,1.61272,0.0009406,0.0009406,0.0009406
11,18.6693,1.26958,0.62641,0.52364,0.80009,1.44511,0.96268,0.92145,0.98832,0.54041,0.9316,0.97296,0.99039,0.9179,1.68455,0.29809,0.35866,0.70054,1.55517,0.000934,0.000934,0.000934
12,20.1508,1.16962,0.56136,0.48171,0.72409,1.35935,0.92559,0.88856,0.9654,0.67822,0.92559,0.88856,0.97118,0.91326,1.09998,0.2871,0.34379,0.63378,1.25139,0.0009274,0.0009274,0.0009274
13,21.6522,1.19919,0.48786,0.52157,0.7328,1.40697,0.90804,0.94643,0.96661,0.6531,0.90804,0.94643,0.97285,0.9156,1.22839,0.30033,0.346,0.64532,1.3315,0.0009208,0.0009208,0.0009208
14,23.1614,1.30199,0.46765,0.52497,0.75359,1.40028,0.94201,0.98214,0.99023,0.51507,0.94751,0.96717,0.99164,0.93567,1.66636,0.3218,0.35016,0.66663,1.55093,0.0009142,0.0009142,0.0009142
15,24.6938,1.27606,0.42495,0.48258,0.69903,1.44437,0.96786,0.94643,0.98639,0.43928,0.95389,0.98214,0.98903,0.93472,2.00707,0.29904,0.33678,0.72546,1.79283,0.0009076,0.0009076,0.0009076
16,26.2167,1.12182,0.36539,0.51547,0.65957,1.30913,0.97533,0.94643,0.98345,0.52335,0.96491,0.98195,0.989,0.96314,1.70603,0.29613,0.33888,0.64364,1.532,0.000901,0.000901,0.000901
17,27.7418,1.13221,0.35656,0.47345,0.68605,1.32288,0.99738,0.94643,0.99147,0.52772,0.99738,0.94643,0.99147,0.95857,1.62051,0.31316,0.32354,0.65174,1.5671,0.0008944,0.0008944,0.0008944
18,29.2312,1.20793,0.36802,0.53415,0.72784,1.35029,0.99665,0.94643,0.98936,0.53642,0.99665,0.94643,0.98936,0.96548,1.62215,0.22195,0.3183,0.636,1.57506,0.0008878,0.0008878,0.0008878
19,30.7279,1.26678,0.33363,0.49502,0.72663,1.38752,0.99593,0.94643,0.97559,0.48076,0.99593,0.94643,0.98556,0.96831,1.77129,0.20639,0.31342,0.67785,1.68675,0.0008812,0.0008812,0.0008812
20,32.2219,1.11476,0.34675,0.48975,0.69333,1.31817,0.98647,0.94643,0.98498,0.53798,0.9815,0.9472,0.99064,0.98027,1.50333,0.21483,0.29652,0.65365,1.46084,0.0008746,0.0008746,0.0008746
21,33.7216,1.06629,0.40373,0.45988,0.66057,1.29681,0.94579,0.93472,0.98264,0.60016,0.96387,0.94643,0.98593,0.96177,1.34372,0.27062,0.26841,0.6283,1.38929,0.000868,0.000868,0.000868
22,35.2193,1.13627,0.32156,0.45149,0.72282,1.30901,0.9518,0.92857,0.97919,0.64079,0.96278,0.92384,0.98439,0.94882,1.24024,0.27819,0.26232,0.59919,1.29275,0.0008614,0.0008614,0.0008614
23,36.7413,1.06361,0.26636,0.3707,0.61825,1.27455,0.95964,0.98214,0.98626,0.62782,0.95964,0.98214,0.987,0.97312,1.37645,0.22774,0.24085,0.56331,1.34861,0.0008548,0.0008548,0.0008548
24,38.2369,1.18241,0.24349,0.44388,0.67576,1.34242,0.94368,1,0.9885,0.55663,0.94368,1,0.9885,0.97266,1.64031,0.19848,0.21203,0.61369,1.49918,0.0008482,0.0008482,0.0008482
25,39.7297,1.02653,0.31802,0.39551,0.61122,1.24251,0.92052,1,0.98845,0.6582,0.92052,1,0.98864,0.96731,1.24524,0.22147,0.20765,0.54392,1.28225,0.0008416,0.0008416,0.0008416
26,41.2236,1.06478,0.26268,0.37348,0.68149,1.26305,0.90321,1,0.97976,0.72274,0.90321,1,0.97976,0.94796,0.9431,0.2264,0.21436,0.54982,1.19931,0.000835,0.000835,0.000835
27,42.7385,1.12848,0.34517,0.40472,0.67551,1.32435,0.9176,1,0.97862,0.68669,0.9176,1,0.97862,0.97349,1.12935,0.20111,0.20077,0.56746,1.27227,0.0008284,0.0008284,0.0008284
28,44.2257,1.08972,0.23895,0.40198,0.66755,1.25898,0.92552,0.96429,0.98668,0.65322,0.92552,0.96429,0.98668,0.9663,1.208,0.25363,0.19895,0.5299,1.27882,0.0008218,0.0008218,0.0008218
29,45.7011,1.09886,0.29923,0.41663,0.68441,1.30976,0.93279,1,0.99001,0.72632,0.93279,1,0.99001,0.96456,0.90157,0.30231,0.21624,0.53294,1.18331,0.0008152,0.0008152,0.0008152
30,47.2765,1.07863,0.2745,0.39084,0.65246,1.26574,0.9392,0.96429,0.98071,0.7353,0.9392,0.96429,0.98119,0.9608,0.93382,0.26308,0.22387,0.50029,1.17903,0.0008086,0.0008086,0.0008086
31,48.9398,1.08759,0.23188,0.40339,0.68185,1.29785,0.9164,0.97874,0.98064,0.70844,0.9164,0.97874,0.98064,0.95127,1.02257,0.22681,0.20332,0.51585,1.21415,0.000802,0.000802,0.000802
32,50.5842,1.02502,0.25169,0.41353,0.62054,1.23415,0.94275,0.98214,0.98489,0.71156,0.94275,0.98214,0.98489,0.94881,1.05916,0.19554,0.19708,0.51877,1.2317,0.0007954,0.0007954,0.0007954
33,52.19,0.97671,0.22824,0.37978,0.58574,1.22841,0.94613,0.96429,0.97964,0.72206,0.94613,0.96429,0.97964,0.96838,1.05651,0.21198,0.19862,0.5393,1.24348,0.0007888,0.0007888,0.0007888
34,53.8078,1.03339,0.26142,0.3647,0.57836,1.25332,0.94739,0.96477,0.9758,0.7388,0.94739,0.96477,0.9758,0.96631,0.94026,0.18564,0.21776,0.52915,1.18836,0.0007822,0.0007822,0.0007822
35,55.4213,1.01456,0.22005,0.36871,0.5638,1.23904,0.91637,0.98214,0.97891,0.73745,0.91637,0.98214,0.97891,0.94574,0.95336,0.20412,0.2161,0.52109,1.18495,0.0007756,0.0007756,0.0007756
36,57.0413,1.04999,0.21781,0.37563,0.61709,1.25322,0.94573,1,0.98298,0.70435,0.94573,1,0.98569,0.96602,1.09132,0.18732,0.1899,0.47616,1.27473,0.000769,0.000769,0.000769
37,58.6629,1.01714,0.22997,0.34163,0.57632,1.23796,0.9294,1,0.98213,0.68644,0.9294,1,0.98545,0.97324,1.11315,0.19999,0.17715,0.47296,1.23852,0.0007624,0.0007624,0.0007624
38,60.3123,1.06064,0.28088,0.38093,0.63529,1.29017,0.95458,0.96429,0.986,0.74019,0.95576,0.96429,0.9891,0.97295,1.00794,0.21562,0.16601,0.46669,1.22954,0.0007558,0.0007558,0.0007558
39,61.9318,1.04942,0.24605,0.37768,0.6055,1.22494,0.93485,0.98214,0.98316,0.76931,0.93485,0.98214,0.98447,0.96647,0.89226,0.20949,0.15269,0.4813,1.15836,0.0007492,0.0007492,0.0007492
40,63.575,0.99031,0.19578,0.34341,0.55059,1.23959,0.96542,0.99719,0.98139,0.77013,0.96542,0.99719,0.99089,0.97187,0.86641,0.17013,0.15736,0.44628,1.13437,0.0007426,0.0007426,0.0007426
41,65.1684,1.004,0.21579,0.32252,0.67937,1.23906,0.96504,1,0.97754,0.69978,0.96504,1,0.98731,0.98239,1.06661,0.14852,0.15529,0.46197,1.17881,0.000736,0.000736,0.000736
42,66.7265,0.90828,0.17383,0.33474,0.55349,1.17278,0.95952,1,0.97322,0.67503,0.95952,1,0.98475,0.98096,1.17207,0.13326,0.14848,0.49562,1.22578,0.0007294,0.0007294,0.0007294
43,68.3584,0.99027,0.21988,0.37739,0.58434,1.22774,0.96325,1,0.97405,0.65076,0.96325,1,0.98866,0.97758,1.22852,0.13141,0.12881,0.50442,1.2445,0.0007228,0.0007228,0.0007228
44,70.0219,1.03141,0.2231,0.34633,0.62369,1.25044,0.96369,0.98214,0.97436,0.66633,0.96369,0.98214,0.99088,0.97366,1.18925,0.14664,0.13037,0.47815,1.26359,0.0007162,0.0007162,0.0007162
45,71.6466,0.97155,0.19201,0.31231,0.54369,1.2063,0.96488,0.98111,0.97779,0.65289,0.96488,0.98111,0.99228,0.97241,1.24652,0.15408,0.13739,0.49821,1.30156,0.0007096,0.0007096,0.0007096
46,73.2681,0.98039,0.20508,0.36658,0.5717,1.19991,0.97178,0.96429,0.98141,0.70249,0.97178,0.96429,0.99214,0.96833,1.0634,0.17895,0.14546,0.4756,1.20017,0.000703,0.000703,0.000703
47,74.9171,0.99762,0.21192,0.41759,0.57699,1.24326,0.96012,0.98214,0.97952,0.71017,0.96012,0.98214,0.98952,0.97653,1.0256,0.16479,0.14901,0.49207,1.17443,0.0006964,0.0006964,0.0006964
48,76.5573,0.99367,0.22061,0.32366,0.56431,1.24644,0.96488,0.9811,0.97991,0.73458,0.96488,0.9811,0.99028,0.97906,0.95484,0.14335,0.14591,0.47054,1.1444,0.0006898,0.0006898,0.0006898
49,78.1798,0.9991,0.19821,0.32853,0.614,1.22858,0.96133,0.98214,0.98582,0.71014,0.96133,0.98214,0.99055,0.98524,0.93801,0.10994,0.13685,0.45905,1.1567,0.0006832,0.0006832,0.0006832
50,79.7977,0.99414,0.23231,0.37796,0.61319,1.22766,0.96421,0.96217,0.99054,0.71586,0.96421,0.96217,0.99054,0.98405,0.96599,0.11644,0.12998,0.46392,1.17378,0.0006766,0.0006766,0.0006766
51,81.4639,1.01253,0.1753,0.38285,0.58181,1.24949,0.9622,0.96429,0.99061,0.72648,0.9622,0.96429,0.99061,0.98894,0.9607,0.11816,0.12963,0.46866,1.15598,0.00067,0.00067,0.00067
52,83.067,0.93135,0.19114,0.32209,0.57154,1.18672,0.95017,0.94643,0.9896,0.70017,0.98179,0.96429,0.99195,0.99148,1.05451,0.10437,0.13512,0.47973,1.19712,0.0006634,0.0006634,0.0006634
53,84.6659,0.95501,0.17598,0.36323,0.58338,1.198,0.95496,0.98214,0.98996,0.7124,0.9824,0.99685,0.99167,0.98525,1.07761,0.10593,0.12969,0.47784,1.25282,0.0006568,0.0006568,0.0006568
54,86.2242,0.98793,0.18484,0.35533,0.60043,1.20578,0.96544,1,0.98902,0.69724,0.97603,1,0.99009,0.98625,1.07592,0.10051,0.12557,0.47033,1.25484,0.0006502,0.0006502,0.0006502
