epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53722,2.47225,2.0465,0.52883,1.89482,3.07419,0.4595,0.73585,0.47222,0.1109,0.46608,0.66038,0.44784,0.10838,2.64954,2.86615,0.30268,2.20017,3.91924,0.000320988,0.000320988,0.0682222
2,6.29518,1.99036,1.74295,0.38874,1.28066,2.74865,0.67555,0.88679,0.83545,0.21652,0.67928,0.86792,0.80712,0.19827,2.68014,2.88121,0.21533,1.18352,3.68003,0.000650002,0.000650002,0.0352179
3,9.00419,1.97757,1.39313,0.48823,1.28827,2.71851,0.71346,0.79245,0.8683,0.27146,0.70237,0.77358,0.81657,0.2407,2.43347,2.66799,0.2382,1.13587,3.32324,0.000974617,0.000974617,0.00220919
4,11.6615,1.93466,1.38151,0.52543,1.22391,2.5634,0.69937,0.9434,0.87637,0.25479,0.76455,0.79654,0.84489,0.46781,2.38032,1.86769,0.31298,1.15856,3.25641,0.0009802,0.0009802,0.0009802
5,14.3509,1.96519,1.12182,0.45952,1.10771,2.64125,0.87676,0.9434,0.91853,0.30063,0.87676,0.9434,0.94747,0.71883,2.30543,0.98828,0.30241,1.03009,3.20338,0.0009736,0.0009736,0.0009736
6,17.0911,1.92332,1.1604,0.47731,1.07895,2.54962,0.79624,0.81107,0.83951,0.24762,0.79992,0.82978,0.8731,0.56406,2.41842,1.3365,0.33074,1.28591,3.3836,0.000967,0.000967,0.000967
7,19.9276,1.79611,0.94085,0.49115,1.02348,2.51407,0.8751,0.86792,0.91628,0.36214,0.77963,0.90566,0.86174,0.71507,1.94667,0.82317,0.46069,1.09132,2.73474,0.0009604,0.0009604,0.0009604
8,22.6325,1.81661,0.83977,0.50291,1.05215,2.45356,0.93963,0.88107,0.95519,0.40529,0.95975,0.89994,0.96908,0.76737,1.98524,0.98458,0.37335,0.89199,2.66582,0.0009538,0.0009538,0.0009538
9,25.3697,1.7845,0.76659,0.45048,0.97568,2.45407,0.86724,0.96226,0.94268,0.35467,0.86283,0.96226,0.90309,0.73187,2.08467,0.59314,0.38621,1.03853,2.8872,0.0009472,0.0009472,0.0009472
10,28.1083,1.70424,0.91523,0.50573,0.97413,2.38154,0.90654,0.9152,0.97263,0.42537,0.89219,0.93693,0.94733,0.71725,1.87737,0.92319,0.29459,0.87643,2.57573,0.0009406,0.0009406,0.0009406
