epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86913,1.91307,2.09951,0.5393,1.54616,2.431,0.70884,0.72549,0.74846,0.22354,0.59817,0.70588,0.53029,0.18157,2.42262,2.70864,0.30725,4.405,3.44078,0.000320988,0.000320988,0.0682222
2,5.06641,1.48853,1.4996,0.44812,1.00745,2.05351,0.75883,0.84314,0.85094,0.28563,0.79798,0.88235,0.90676,0.43806,2.19232,1.81181,0.26426,1.05598,3.13255,0.000650002,0.000650002,0.0352179
3,7.24073,1.49076,1.00503,0.56961,1.04905,2.01649,0.89658,0.85006,0.93417,0.35324,0.80984,0.91862,0.9264,0.60192,2.14018,1.33775,0.31653,0.88867,2.97775,0.000974617,0.000974617,0.00220919
4,9.2747,1.57759,0.91391,0.62072,1.05913,2.09058,0.77104,0.92449,0.91465,0.4715,0.77282,0.96078,0.93048,0.75318,1.61915,0.91577,0.39251,0.92379,2.239,0.0009802,0.0009802,0.0009802
5,11.2447,1.47511,0.73461,0.54861,0.96324,2.05822,0.78896,0.96078,0.90078,0.33365,0.75973,0.93006,0.84932,0.72712,1.80343,0.64353,0.44435,1.02059,2.33432,0.0009736,0.0009736,0.0009736
6,13.1686,1.46599,0.77364,0.54522,0.89272,1.99752,0.84205,0.98039,0.94341,0.47578,0.86263,0.98513,0.96524,0.7754,1.59227,0.98691,0.36113,0.89723,2.06914,0.000967,0.000967,0.000967
7,15.2996,1.35977,0.79514,0.51046,0.84298,1.91574,0.94064,0.94118,0.97476,0.50416,0.92189,0.94118,0.97671,0.73908,1.7026,1.09448,0.35117,0.76003,2.12938,0.0009604,0.0009604,0.0009604
8,17.4171,1.4,0.63189,0.53265,0.87136,1.96306,0.87387,0.95106,0.97816,0.48673,0.89297,0.98153,0.9811,0.83816,1.63951,0.55823,0.35396,1.05571,2.16878,0.0009538,0.0009538,0.0009538
9,19.8323,1.37643,0.50775,0.48254,0.84363,1.94618,0.95835,0.94118,0.97171,0.4763,0.95835,0.94118,0.96938,0.86888,1.7164,0.53965,0.34122,0.75495,2.17042,0.0009472,0.0009472,0.0009472
10,22.1484,1.3436,0.74552,0.51872,0.85261,1.85198,0.92408,0.95468,0.97588,0.45387,0.92408,0.95468,0.96912,0.86969,1.79621,0.56745,0.28427,0.97097,2.26001,0.0009406,0.0009406,0.0009406
11,24.2741,1.37578,0.78307,0.52354,0.85058,1.90075,0.75618,0.90196,0.89909,0.48611,0.77049,0.92154,0.91914,0.81032,1.56772,0.49958,0.2961,0.96171,2.19329,0.000934,0.000934,0.000934
