epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.54849,1.83537,2.30859,0.53932,1.67052,2.02878,0.19478,0.44643,0.19939,0.04063,0.40584,0.85714,0.61678,0.14727,2.47169,2.92197,0.41264,6.08522,2.85844,0.000320988,0.000320988,0.0682222
2,5.0836,1.46745,1.8311,0.47825,1.15539,1.63547,0.54108,0.76786,0.59833,0.16115,0.65363,0.71429,0.71176,0.37439,2.51749,1.93834,0.26764,2.14898,3.31626,0.000650002,0.000650002,0.0352179
3,6.62946,1.47789,1.2723,0.50388,1.01835,1.64893,0.59407,0.66071,0.55233,0.16067,0.71144,0.79253,0.80115,0.48082,2.53837,1.6453,0.27426,1.73661,3.21595,0.000974617,0.000974617,0.00220919
4,8.14032,1.49076,1.10987,0.5507,1.06409,1.64082,0.83036,0.91071,0.87813,0.42759,0.75205,0.82143,0.79026,0.48975,1.80469,1.31054,0.46168,0.96292,1.92119,0.0009802,0.0009802,0.0009802
5,9.66666,1.52521,0.87573,0.54468,0.98102,1.73117,0.86933,0.83166,0.93711,0.41837,0.86206,0.80357,0.92842,0.74047,1.87059,0.8741,0.35471,0.94634,1.91696,0.0009736,0.0009736,0.0009736
6,11.1894,1.45276,1.07858,0.53722,0.95907,1.57561,0.7971,0.91201,0.92163,0.49432,0.7637,0.83929,0.81539,0.59044,1.61361,0.96984,0.36693,0.8915,1.66206,0.000967,0.000967,0.000967
7,12.7129,1.32614,0.95743,0.50448,0.89069,1.49501,0.88085,0.92857,0.94873,0.49725,0.82932,0.875,0.89929,0.59346,1.55894,1.21534,0.42812,0.77082,1.57638,0.0009604,0.0009604,0.0009604
8,14.2268,1.36576,0.70824,0.54877,0.89053,1.5218,0.87659,0.94643,0.9439,0.52431,0.87659,0.94643,0.92884,0.77298,1.52678,0.70337,0.38154,0.70748,1.50194,0.0009538,0.0009538,0.0009538
9,15.7372,1.33591,0.83126,0.51387,0.83533,1.50574,0.93644,0.94643,0.98427,0.58189,0.93859,0.94643,0.97321,0.83891,1.41756,0.69399,0.34151,0.70289,1.4226,0.0009472,0.0009472,0.0009472
10,17.2704,1.27774,0.74634,0.53768,0.85092,1.44987,0.94455,0.94643,0.9877,0.53798,0.9238,0.92857,0.92897,0.78354,1.55516,0.60793,0.34842,0.74215,1.46245,0.0009406,0.0009406,0.0009406
11,18.7698,1.25397,0.74697,0.49868,0.79379,1.42707,0.94713,0.9597,0.98343,0.61841,0.94713,0.9597,0.95932,0.76539,1.3536,0.69532,0.36898,0.66846,1.37448,0.000934,0.000934,0.000934
12,20.2693,1.15602,0.64961,0.47201,0.73379,1.35606,0.93317,0.99745,0.98846,0.6196,0.94884,1,0.99275,0.91738,1.20871,0.49183,0.31712,0.63602,1.27999,0.0009274,0.0009274,0.0009274
