epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.36024,2.48446,2.04952,0.54737,1.81477,3.089,0.37269,0.64151,0.44924,0.09794,0.50282,0.64884,0.56609,0.13046,2.69006,2.9438,0.3338,3.61359,3.91275,0.000320988,0.000320988,0.0682222
2,7.96558,1.98726,1.73337,0.41816,1.21002,2.74227,0.679,0.91802,0.77999,0.2673,0.54193,0.80365,0.7041,0.2354,2.35039,2.66348,0.29423,1.48448,3.19692,0.000650002,0.000650002,0.0352179
3,10.5863,1.9854,1.30709,0.52816,1.21822,2.63248,0.72249,0.83515,0.83309,0.28972,0.66968,0.92453,0.83056,0.3428,2.31045,2.26385,0.28296,1.05271,2.9763,0.000974617,0.000974617,0.00220919
4,13.2129,1.96394,1.19636,0.59754,1.13407,2.56416,0.88474,0.869,0.92493,0.29769,0.88474,0.869,0.93633,0.63571,2.28526,1.30687,0.35269,1.07637,3.18435,0.0009802,0.0009802,0.0009802
5,15.8399,1.88837,0.99677,0.52757,1.08255,2.53371,0.9014,0.90566,0.96809,0.34761,0.84991,0.84906,0.85502,0.64135,2.06218,1.18672,0.41384,0.88869,2.80184,0.0009736,0.0009736,0.0009736
6,18.475,1.8489,1.00907,0.53633,1.03135,2.44032,0.92375,0.91438,0.95821,0.33846,0.95823,0.9434,0.97633,0.67375,2.25126,1.17721,0.42098,0.85096,2.97987,0.000967,0.000967,0.000967
7,21.076,1.67438,0.93575,0.52013,0.99148,2.36691,0.92673,0.95473,0.98007,0.38807,0.93984,0.96226,0.98252,0.83575,1.99535,0.76694,0.42327,0.8255,2.72244,0.0009604,0.0009604,0.0009604
8,23.589,1.75447,0.73866,0.48275,1.01508,2.37705,0.8823,0.99014,0.96818,0.39221,0.8823,0.99014,0.96981,0.81561,1.81325,0.76736,0.35517,0.86089,2.52267,0.0009538,0.0009538,0.0009538
9,26.1172,1.69873,0.70215,0.45999,0.94683,2.33659,0.93369,0.84906,0.91801,0.31224,0.91294,0.83019,0.93305,0.69029,2.1201,0.75996,0.36998,0.93728,3.09358,0.0009472,0.0009472,0.0009472
10,28.626,1.62318,0.71179,0.53113,0.98133,2.28308,0.8774,0.94524,0.9634,0.47296,0.89491,0.9641,0.97209,0.8234,1.76649,0.56934,0.30772,0.88445,2.53392,0.0009406,0.0009406,0.0009406
11,31.1919,1.63223,0.75391,0.53091,1.00053,2.22583,0.92182,0.9434,0.97297,0.40731,0.89829,0.92453,0.95796,0.71635,1.90897,0.58019,0.33181,0.93381,2.6765,0.000934,0.000934,0.000934
12,33.7106,1.51903,0.65455,0.45436,0.90386,2.21076,0.92449,0.92397,0.96963,0.55111,0.92449,0.92397,0.97044,0.86063,1.51624,0.5327,0.29857,0.76416,2.2219,0.0009274,0.0009274,0.0009274
