epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95153,1.00277,1.66745,0.73233,0.71344,1.46068,0.45628,0.73077,0.65514,0.3196,0.51937,0.76923,0.6451,0.20628,1.68391,2.80428,0.67084,1.86561,2.20162,0.000309524,0.000309524,0.0693571
2,3.98992,0.77185,1.46786,0.71425,0.4132,1.27526,0.33652,1,0.3558,0.24354,0.33605,0.79824,0.39575,0.13016,1.14177,2.50486,0.57574,1.69954,1.72234,0.000638614,0.000638614,0.0363529
3,4.98894,0.78841,1.52241,0.73634,0.51419,1.28469,0.15885,0.42308,0.10586,0.01987,0.78542,0.65385,0.76703,0.18842,3.4126,2.96734,0.67124,2.38152,5.23472,0.000963305,0.000963305,0.00334426
4,6.0228,0.892,1.13912,0.73033,0.51615,1.36749,0.23735,0.53846,0.24251,0.09369,0.58228,0.73077,0.68474,0.31209,2.52458,1.95362,0.60329,4.10808,3.64208,0.0009802,0.0009802,0.0009802
5,7.03519,0.75878,1.2039,0.62823,0.44445,1.28435,0.36667,0.38462,0.36242,0.19332,0.41635,0.8233,0.47821,0.33976,2.05327,1.45129,0.53975,2.98106,2.55105,0.0009736,0.0009736,0.0009736
6,8.03959,0.68663,1.16953,0.644,0.42421,1.19992,0.53908,0.26923,0.35438,0.11587,0.50996,0.88462,0.72396,0.3213,2.32956,1.42706,0.51562,4.59486,2.73482,0.000967,0.000967,0.000967
7,9.0537,0.6361,0.95649,0.68325,0.43843,1.17736,0.62335,0.53846,0.72513,0.3767,0.70132,0.73077,0.71897,0.50588,1.75284,1.04272,0.59307,2.0965,2.2906,0.0009604,0.0009604,0.0009604
8,10.0553,0.74382,0.93488,0.68345,0.43229,1.23859,0.92566,0.95799,0.97132,0.58414,0.83799,0.88462,0.85376,0.67503,1.40382,1.19041,0.61256,0.84436,1.89266,0.0009538,0.0009538,0.0009538
9,11.0607,0.70878,0.76183,0.71662,0.40339,1.23041,0.84321,0.84615,0.91238,0.47187,0.80637,0.76923,0.87044,0.71628,1.50872,0.98911,0.5534,0.9221,2.13938,0.0009472,0.0009472,0.0009472
10,12.0369,0.68769,0.79339,0.62711,0.40849,1.23391,0.96132,0.95604,0.9842,0.4886,0.93899,0.92308,0.95784,0.81419,1.39674,0.72603,0.55545,0.88578,1.89678,0.0009406,0.0009406,0.0009406
11,13.0524,0.72401,0.85525,0.60472,0.41264,1.24749,0.98489,1,0.995,0.68436,0.98489,1,0.995,0.89811,1.08097,0.3583,0.59324,0.69526,1.55965,0.000934,0.000934,0.000934
12,14.0458,0.71711,0.55532,0.68868,0.40716,1.2264,0.96148,0.96009,0.98555,0.65012,0.96148,0.96009,0.98555,0.90285,1.31598,0.37801,0.56897,0.74692,1.81288,0.0009274,0.0009274,0.0009274
13,15.0362,0.67774,0.62282,0.66873,0.38708,1.16123,0.9911,1,0.995,0.7722,0.9911,1,0.995,0.78158,0.92439,0.70148,0.45412,0.5671,1.49474,0.0009208,0.0009208,0.0009208
14,16.0092,0.6887,0.67173,0.61805,0.39402,1.1836,0.99217,1,0.995,0.7406,0.99217,1,0.995,0.68913,0.96483,1.04413,0.45857,0.64932,1.59792,0.0009142,0.0009142,0.0009142
15,16.9941,0.66301,0.50431,0.62103,0.39873,1.18566,0.98431,1,0.995,0.64891,0.98431,1,0.995,0.87741,1.41051,0.63497,0.48748,0.71812,1.89514,0.0009076,0.0009076,0.0009076
16,17.9917,0.65028,0.47076,0.6284,0.38164,1.17365,0.99476,1,0.995,0.74486,0.99476,1,0.995,0.96222,1.06605,0.35454,0.48021,0.51897,1.53514,0.000901,0.000901,0.000901
17,18.9927,0.64094,0.51824,0.60771,0.37293,1.1582,0.99709,1,0.995,0.70527,0.99709,1,0.995,0.95123,1.16976,0.33041,0.4073,0.54587,1.8875,0.0008944,0.0008944,0.0008944
18,19.9751,0.71902,0.5276,0.60612,0.43333,1.20816,0.99723,1,0.995,0.69811,0.99723,1,0.995,0.95583,1.16284,0.2853,0.40631,0.52834,1.82662,0.0008878,0.0008878,0.0008878
19,20.949,0.64261,0.49305,0.6345,0.4047,1.18375,0.99733,1,0.995,0.73602,0.99733,1,0.995,0.96142,0.97099,0.29077,0.42093,0.48062,1.707,0.0008812,0.0008812,0.0008812
20,21.9377,0.63048,0.39907,0.6186,0.39561,1.18192,0.99528,1,0.995,0.828,0.99528,1,0.995,0.96127,0.76169,0.26429,0.38568,0.46504,1.30027,0.0008746,0.0008746,0.0008746
21,22.9286,0.66469,0.44491,0.606,0.36976,1.20083,0.99774,1,0.995,0.79443,0.99774,1,0.995,0.97119,0.78109,0.21201,0.37859,0.48043,1.3207,0.000868,0.000868,0.000868
22,23.9092,0.61962,0.39515,0.55023,0.35651,1.1712,0.99787,1,0.995,0.77697,0.99787,1,0.995,0.96995,0.81876,0.25615,0.4297,0.48801,1.39482,0.0008614,0.0008614,0.0008614
23,24.9106,0.62019,0.44127,0.55122,0.38552,1.14917,0.99787,1,0.995,0.79755,0.99787,1,0.995,0.95799,0.76658,0.242,0.41828,0.44907,1.25314,0.0008548,0.0008548,0.0008548
24,25.9043,0.61692,0.35021,0.55901,0.40034,1.13501,0.9914,1,0.995,0.7854,0.9914,1,0.995,0.93111,0.83579,0.44128,0.36813,0.43849,1.2868,0.0008482,0.0008482,0.0008482
25,26.8908,0.68573,0.41775,0.55377,0.40631,1.18896,1,0.96109,0.995,0.70675,0.89635,0.99785,0.98882,0.87103,1.09796,0.81916,0.45496,0.54861,1.60098,0.0008416,0.0008416,0.0008416
26,27.8653,0.61576,0.33835,0.54501,0.34659,1.15664,0.98986,1,0.995,0.71503,0.9609,1,0.99389,0.91099,1.04471,0.55544,0.53995,0.54003,1.5209,0.000835,0.000835,0.000835
27,28.8488,0.58759,0.30944,0.53977,0.36929,1.1378,0.99775,1,0.995,0.78338,0.99775,1,0.995,0.96597,0.77694,0.26948,0.49583,0.38173,1.25056,0.0008284,0.0008284,0.0008284
28,29.8375,0.63032,0.59078,0.56844,0.37824,1.13556,0.99788,1,0.995,0.77049,0.99788,1,0.995,0.97795,0.77738,0.22204,0.48465,0.34481,1.23644,0.0008218,0.0008218,0.0008218
29,30.8226,0.63765,0.41141,0.50748,0.39663,1.16271,0.99823,1,0.995,0.77684,0.99823,1,0.995,0.94067,0.79388,0.34321,0.44237,0.37625,1.21707,0.0008152,0.0008152,0.0008152
