epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18209,2.13684,2.1666,0.59421,2.06252,0.05175,22.2334,0.00533,0.08163,0.00067,0.00012,0.39626,0.44898,0.41033,0.06898,4.19369,2.93505,0.38622,4.11238,0.15463,0,0.000320988,0.000320988,0.0682222
2,8.22649,1.81817,1.95811,0.4463,1.28208,0.04302,18.9891,0.16782,0.20408,0.06312,0.00946,0.6033,0.67347,0.62922,0.16161,3.63158,2.59591,0.27827,1.75511,0.1215,0,0.000650002,0.000650002,0.0352179
3,11.2915,1.95467,1.50543,0.46837,1.32169,0.04605,17.8919,0.4908,0.67347,0.55155,0.11531,0.63929,0.85714,0.78253,0.27478,3.12051,2.26189,0.27807,1.11226,0.09233,0,0.000974617,0.000974617,0.00220919
4,14.4293,1.98039,1.27642,0.54355,1.21763,0.04451,16.7009,0.81499,0.91837,0.90411,0.37368,0.7954,0.89796,0.86861,0.53453,1.85335,1.30509,0.3774,0.73002,0.04411,0,0.0009802,0.0009802,0.0009802
5,17.4337,1.9922,1.13861,0.49588,1.13054,0.04658,16.5318,0.69336,0.78458,0.66568,0.17453,0.80101,0.90372,0.90608,0.62593,2.56921,1.05352,0.28879,0.88941,0.06778,0,0.0009736,0.0009736,0.0009736
6,20.3883,1.64046,1.05869,0.48169,0.85349,0.0382,15.7722,0.74285,0.79592,0.71774,0.23672,0.82206,0.87755,0.9079,0.64035,2.30641,0.96042,0.24868,0.83025,0.05491,0,0.000967,0.000967,0.000967
7,23.2711,1.72206,0.83825,0.41653,0.88907,0.03926,14.8795,0.79978,0.91837,0.91679,0.34681,0.81809,0.93878,0.9438,0.76792,2.08853,0.70147,0.28479,0.69591,0.05089,0,0.0009604,0.0009604,0.0009604
8,26.265,1.71619,0.77753,0.46562,0.88464,0.0391,14.3683,0.79196,0.87755,0.86443,0.33937,0.80378,0.89796,0.90592,0.74839,2.06568,0.67259,0.33476,0.77078,0.04574,0,0.0009538,0.0009538,0.0009538
9,29.2654,1.75287,0.6245,0.45021,0.88537,0.03704,14.0101,0.84435,0.85714,0.89368,0.3733,0.86445,0.87755,0.93121,0.83076,1.97256,0.39903,0.32903,0.6861,0.04325,0,0.0009472,0.0009472,0.0009472
10,32.2046,1.65242,0.58071,0.4851,0.94394,0.03675,12.9924,0.89276,0.89796,0.93874,0.43311,0.90517,0.91837,0.94933,0.89676,1.8196,0.26114,0.32773,0.67932,0.03887,0,0.0009406,0.0009406,0.0009406
11,35.0989,1.51101,0.51845,0.51142,0.8214,0.03221,12.3907,0.9215,0.95823,0.95241,0.46472,0.9215,0.95823,0.95991,0.9115,1.76502,0.29159,0.25437,0.607,0.03932,0,0.000934,0.000934,0.000934
12,38.0688,1.58962,0.47079,0.42642,0.80825,0.03495,12.4404,0.90149,0.93392,0.93392,0.5752,0.90149,0.93392,0.95107,0.90502,1.27211,0.29819,0.20515,0.53199,0.02664,0,0.0009274,0.0009274,0.0009274
13,40.962,1.57934,0.43232,0.44729,0.84217,0.03356,12.2586,0.88122,0.90855,0.93556,0.59129,0.95513,0.8689,0.95637,0.89829,1.24859,0.33391,0.19742,0.53622,0.02513,0,0.0009208,0.0009208,0.0009208
