epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.75922,2.14595,2.15236,0.60921,1.95093,0.04923,23.5281,0.08655,0.40816,0.065,0.01104,0.30561,0.66472,0.2882,0.05656,3.39388,3.14146,0.40178,3.53402,0.11896,0,0.000309524,0.000309524,0.0693571
2,5.50565,1.75018,1.86099,0.49862,1.2819,0.03629,18.5038,0.08529,0.14286,0.05285,0.00907,0.32852,0.5102,0.31962,0.07041,3.39179,2.98576,0.32314,2.79377,0.12169,0,0.000638614,0.000638614,0.0363529
3,7.23071,1.93169,1.74773,0.44102,1.08259,0.04073,18.4032,0.16896,0.14286,0.06268,0.01002,0.58554,0.65306,0.65626,0.18953,3.63662,2.89624,0.30472,1.96624,0.11686,0,0.000963305,0.000963305,0.00334426
4,8.96453,1.9418,1.51911,0.51979,1.04092,0.04454,17.4049,0.89817,0.72017,0.86614,0.20195,0.7375,0.80282,0.81789,0.30863,2.69248,2.35793,0.25989,0.89552,0.06516,0,0.0009802,0.0009802,0.0009802
5,10.7019,1.62194,1.21619,0.45434,0.90156,0.03522,15.6279,0.8107,0.81633,0.81658,0.20443,0.83137,0.83673,0.86193,0.39242,2.59831,1.82119,0.27047,0.8661,0.07591,0,0.0009736,0.0009736,0.0009736
6,12.4187,1.65067,1.14088,0.47908,0.89565,0.03814,15.6421,0.85884,0.87755,0.86944,0.28693,0.83887,0.85714,0.83316,0.44833,2.23708,1.59007,0.29182,0.74518,0.05899,0,0.000967,0.000967,0.000967
7,14.1481,1.514,1.00967,0.48318,0.86946,0.03391,14.8278,0.81854,0.93878,0.86481,0.37783,0.81854,0.93878,0.86237,0.52585,1.82341,1.20889,0.3135,0.7737,0.04023,0,0.0009604,0.0009604,0.0009604
8,15.8797,1.51044,1.06903,0.43333,0.88118,0.03241,14.576,0.85713,0.9795,0.90839,0.37835,0.82449,0.95869,0.89741,0.6402,1.92264,0.87955,0.26257,0.7288,0.04712,0,0.0009538,0.0009538,0.0009538
9,17.6033,1.65822,0.83348,0.42992,0.79593,0.03572,13.8277,0.92053,0.93878,0.95333,0.47953,0.93013,0.93878,0.96912,0.80568,1.68453,0.65762,0.24285,0.57668,0.0388,0,0.0009472,0.0009472,0.0009472
10,19.3512,1.6408,0.79468,0.53315,0.78213,0.03743,13.3407,0.92605,0.93878,0.95912,0.50198,0.92605,0.93878,0.97317,0.83041,1.62982,0.57934,0.24661,0.5305,0.03786,0,0.0009406,0.0009406,0.0009406
