epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66737,2.70846,1.93728,0.72544,4.31037,2.92879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277778,0.00277778,0.075
2,3.09915,2.86346,1.90269,0.71962,4.11767,3.00879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607078,0.00607078,0.0449597
3,3.52478,2.94027,1.90782,0.72918,4.19827,3.14319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931978,0.00931978,0.0148753
4,4.05161,3.12992,1.75192,0.70694,4.31617,3.19613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
5,4.59105,3.04304,1.77528,0.67419,3.21748,3.12749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
6,5.13959,2.85556,1.53805,0.65884,3.07678,2.97194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
7,5.64838,2.804,1.60624,0.63675,3.03703,2.94511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
8,6.16858,2.7932,1.70769,0.60507,2.79855,3.00873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
9,6.67396,2.73295,1.56312,0.63822,2.92616,2.85378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
10,7.18456,2.80988,1.51361,0.59879,2.94038,2.91321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
11,7.68631,2.65461,1.68981,0.55223,2.83455,2.86917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
12,8.20254,2.61996,1.43068,0.54878,2.92018,2.84903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
13,8.71156,2.53197,1.28945,0.53709,2.98703,2.83198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
14,9.23927,2.45648,1.24762,0.59312,3.04685,2.75529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
15,9.7423,2.35856,1.24376,0.56989,3.07984,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
16,10.2547,2.19568,1.27796,0.55596,2.98879,2.66748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
17,10.7713,2.22544,1.24062,0.55583,3.08336,2.69911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
18,11.275,2.18299,1.25185,0.51134,3.15222,2.67426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
19,11.783,2.16492,1.25929,0.54369,3.13544,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
20,12.2955,2.11252,0.99122,0.56457,3.04191,2.64123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
21,12.8035,2.13127,1.14819,0.51607,3.08838,2.71889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
22,13.313,2.0509,1.13153,0.52404,3.03806,2.64425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
23,13.8214,2.11832,1.01118,0.49154,3.01363,2.65526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
24,14.3301,2.11127,1.06287,0.54305,3.01109,2.59686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
25,14.834,2.10386,0.8667,0.55147,3.04423,2.58455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
26,15.351,2.07441,1.21885,0.51298,3.04232,2.56755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
27,15.8632,2.03133,0.89973,0.54681,3.07846,2.57623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
28,16.3619,2.02715,0.99269,0.54085,3.03433,2.5801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
29,16.8579,2.07874,0.92891,0.48496,2.99928,2.55749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
30,17.3612,2.06647,0.94667,0.50407,3.03545,2.56078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
31,17.8702,2.01797,0.93881,0.4783,3.06924,2.51799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
32,18.38,1.96262,1.0492,0.46736,3.0556,2.49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007954,0.007954,0.007954
33,18.8897,2.00588,0.96209,0.52074,3.05007,2.51609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007888,0.007888,0.007888
34,19.4007,1.97181,1.08699,0.50921,3.08079,2.55071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
35,19.9106,1.96244,0.83639,0.50941,3.05384,2.4955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007756,0.007756,0.007756
36,20.4187,1.89864,0.91675,0.49659,3.06096,2.4454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
37,21.05,1.96385,0.77399,0.5293,2.9943,2.45194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
38,21.5762,1.98682,0.8726,0.53529,3.03357,2.50141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007558,0.007558,0.007558
39,22.0775,2.01567,0.87023,0.4701,3.03313,2.49303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007492,0.007492,0.007492
40,22.5843,2.00607,0.87961,0.47277,3.03384,2.53991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
41,23.0887,1.93115,0.82624,0.53294,3.01151,2.47518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
42,23.5913,1.92596,0.88373,0.48548,2.97058,2.43775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007294,0.007294,0.007294
43,24.099,2.00088,0.81362,0.51513,3.04185,2.45477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
44,24.6178,1.97944,0.89291,0.48862,3.06542,2.4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007162,0.007162,0.007162
45,25.1166,1.95609,0.84749,0.47717,2.97172,2.41577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007096,0.007096,0.007096
46,25.6242,1.97306,0.8905,0.48076,2.98716,2.48105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
47,26.1291,1.96973,0.82699,0.52411,3.03451,2.37368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006964,0.006964,0.006964
48,26.6355,1.97629,0.95481,0.49748,2.96089,2.46185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006898,0.006898,0.006898
49,27.1421,2.03213,0.83607,0.43842,2.95931,2.45043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
50,27.6506,1.99264,0.71132,0.52254,2.9665,2.40098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006766,0.006766,0.006766
51,28.1629,1.935,0.77481,0.48992,2.95083,2.39449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
52,28.6785,1.99464,0.7769,0.48239,2.84873,2.48135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
