epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43181,0.85285,2.37901,1.8649,1.16479,0,0.01312,0.97802,0.49478,0.35094,0.00722,0.53846,0.03305,0.01299,1.08318,37.1764,2.30567,1.30256,0,0.000325758,0.000325758,0.06775
2,7.2528,0.74249,1.54358,1.19982,1.07601,0,0.86839,0.79762,0.91501,0.76709,0.08047,0.07692,0.01764,0.00306,0.65942,41.5352,1.61805,1.01815,0,0.000654741,0.000654741,0.0347457
3,10.0216,0.80219,1.5292,1.08566,1.09517,0,0.85029,0.79121,0.90789,0.75237,0.83848,0.78022,0.88249,0.63523,0.63296,1.91309,1.48104,0.98583,0,0.000979324,0.000979324,0.0017369
4,12.7566,0.71883,1.49845,0.98764,1.05442,0,0.88268,0.9011,0.94348,0.76142,0.87191,0.89011,0.92394,0.65445,0.7277,2.20291,1.28098,1.04643,0,0.0009802,0.0009802,0.0009802
5,15.5489,0.70504,1.27364,0.96981,1.03234,0,0.89794,0.9011,0.93229,0.79554,0.89794,0.9011,0.93229,0.70645,0.62647,1.61652,0.87998,0.96678,0,0.0009736,0.0009736,0.0009736
6,18.3728,0.68053,1.14854,0.90494,1.00377,0,0.8498,0.93407,0.93007,0.78674,0.8498,0.93407,0.93007,0.69796,0.68037,1.58144,0.95464,0.98761,0,0.000967,0.000967,0.000967
7,21.102,0.65778,1.17158,0.83838,1.01117,0,0.9387,0.9011,0.96035,0.81657,0.9387,0.9011,0.95341,0.77732,0.63036,1.2882,0.87453,1.0046,0,0.0009604,0.0009604,0.0009604
8,23.8488,0.67745,1.15218,0.83753,1.00999,0,0.93186,0.93407,0.96498,0.83587,0.93186,0.93407,0.96498,0.7545,0.57915,1.3749,0.68878,0.97314,0,0.0009538,0.0009538,0.0009538
9,26.6996,0.68036,1.07407,0.78486,1.00869,0,0.98779,0.8887,0.96964,0.82597,0.98779,0.8887,0.96964,0.82185,0.6301,0.91505,0.68556,0.93557,0,0.0009472,0.0009472,0.0009472
10,29.5201,0.62867,1.01935,0.75583,0.98827,0,0.95209,0.9011,0.96725,0.81163,0.95209,0.9011,0.96725,0.83427,0.62318,0.87057,0.71923,0.93412,0,0.0009406,0.0009406,0.0009406
11,32.336,0.69525,1.01989,0.8199,0.99433,0,0.95399,0.91144,0.9728,0.85578,0.95399,0.91144,0.9728,0.83033,0.5501,0.84974,0.65723,0.92749,0,0.000934,0.000934,0.000934
12,35.1359,0.61395,0.98252,0.73385,0.97216,0,0.91505,0.94505,0.96819,0.82716,0.91505,0.94505,0.96819,0.80933,0.55673,1.00923,0.61945,0.95267,0,0.0009274,0.0009274,0.0009274
13,37.8823,0.58201,0.99812,0.70298,0.93787,0,0.94415,0.92889,0.96776,0.84146,0.94415,0.92889,0.96776,0.78854,0.56588,1.02408,0.61618,0.94691,0,0.0009208,0.0009208,0.0009208
14,40.6548,0.56483,0.88843,0.68065,0.94289,0,0.9546,0.92421,0.9666,0.83818,0.9546,0.92421,0.9666,0.80503,0.52886,1.04528,0.58707,0.93676,0,0.0009142,0.0009142,0.0009142
15,43.4367,0.54448,0.87273,0.6178,0.93551,0,0.95667,0.94505,0.96735,0.86102,0.95667,0.94505,0.96735,0.8171,0.54734,1.04585,0.60477,0.93977,0,0.0009076,0.0009076,0.0009076
16,46.183,0.57538,0.91381,0.64938,0.9543,0,0.93168,0.89914,0.96459,0.84369,0.93168,0.89914,0.96459,0.83614,0.53734,0.82736,0.60485,0.9351,0,0.000901,0.000901,0.000901
17,48.9067,0.56411,0.82852,0.61809,0.9578,0,0.93494,0.92308,0.96779,0.83233,0.93494,0.92308,0.96779,0.8326,0.58894,0.87069,0.60613,0.9466,0,0.0008944,0.0008944,0.0008944
