epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92756,0.91408,2.15469,2.00207,1.43048,0,0.00667,0.875,0.02534,0.00961,0,0,0,0,2.54113,14.0655,2.90434,2.63371,0,0.000326531,0.000326531,0.0676735
2,10.8064,0.92126,1.75977,1.29102,1.47465,0,0.95866,0.36236,0.89403,0.6276,0.57742,0.22656,0.34188,0.14274,0.90986,4.54967,2.13195,1.53837,0,0.000655509,0.000655509,0.0346691
3,15.0975,0.81983,1.49629,1.09204,1.34693,0,0.8231,0.82031,0.88817,0.61602,0.83289,0.82812,0.89768,0.51119,0.94383,2.3136,1.23867,1.50646,0,0.000980087,0.000980087,0.00166036
4,19.3091,0.7969,1.37882,0.99676,1.29056,0,0.82762,0.8627,0.87831,0.6505,0.8032,0.86089,0.9018,0.6405,0.88241,1.54458,1.10221,1.44781,0,0.0009802,0.0009802,0.0009802
5,23.4628,0.76246,1.22034,0.89248,1.27091,0,0.88794,0.9375,0.95041,0.80232,0.88794,0.9375,0.95041,0.76443,0.62786,1.2156,0.83102,1.18825,0,0.0009736,0.0009736,0.0009736
6,27.644,0.73684,1.24833,0.90291,1.23475,0,0.92679,0.90625,0.96329,0.79382,0.92679,0.90625,0.96055,0.74125,0.68464,1.25446,0.75181,1.24798,0,0.000967,0.000967,0.000967
7,31.8641,0.70072,1.12431,0.8383,1.20579,0,0.94263,0.89861,0.96116,0.74597,0.94263,0.89861,0.96116,0.77976,0.76645,1.10298,0.82523,1.30138,0,0.0009604,0.0009604,0.0009604
8,36.0442,0.7006,1.10846,0.79904,1.20309,0,0.9444,0.84375,0.95411,0.7642,0.88615,0.91217,0.95627,0.7424,0.6934,1.35764,0.87831,1.23966,0,0.0009538,0.0009538,0.0009538
9,40.3492,0.62727,1.03143,0.7422,1.17235,0,0.9627,0.89844,0.9766,0.85158,0.9627,0.89844,0.97172,0.82779,0.54612,0.93644,0.65285,1.08603,0,0.0009472,0.0009472,0.0009472
10,44.6413,0.70438,1.16637,0.7931,1.20585,0,0.94495,0.93875,0.97118,0.86031,0.94495,0.93875,0.97118,0.82193,0.50684,0.99158,0.71084,1.05349,0,0.0009406,0.0009406,0.0009406
11,48.8472,0.71489,1.00421,0.7576,1.19483,0,0.95689,0.96875,0.98373,0.72186,0.95689,0.96875,0.98373,0.81979,0.89852,0.94114,0.7681,1.59957,0,0.000934,0.000934,0.000934
12,53.2868,0.64478,0.94968,0.72479,1.14844,0,0.93144,0.91406,0.96606,0.8318,0.93144,0.91406,0.96606,0.80287,0.56987,1.00995,0.7536,1.12906,0,0.0009274,0.0009274,0.0009274
13,57.7772,0.59607,0.91561,0.68342,1.10654,0,0.95749,0.94531,0.97988,0.85789,0.95749,0.94531,0.97988,0.83872,0.51553,0.87144,0.58371,1.05805,0,0.0009208,0.0009208,0.0009208
14,62.0384,0.62019,0.94757,0.67392,1.13881,0,0.93899,0.96186,0.97627,0.86436,0.93899,0.96186,0.97627,0.8462,0.53392,0.83537,0.60874,1.0837,0,0.0009142,0.0009142,0.0009142
15,66.2691,0.60917,0.90294,0.68485,1.11441,0,0.9636,0.94531,0.98153,0.85145,0.9636,0.94531,0.98153,0.79801,0.56553,1.08511,0.59749,1.1261,0,0.0009076,0.0009076,0.0009076
16,70.4342,0.63662,0.94983,0.66428,1.1378,0,0.94099,0.9375,0.97669,0.85942,0.94099,0.9375,0.97303,0.84077,0.5212,0.85067,0.58459,1.05851,0,0.000901,0.000901,0.000901
17,74.6177,0.58676,0.88837,0.61475,1.10316,0,0.90047,0.99219,0.98461,0.85811,0.90047,0.99219,0.98461,0.85302,0.54282,0.82356,0.54584,1.1057,0,0.0008944,0.0008944,0.0008944
18,78.9815,0.54149,0.87922,0.61876,1.07316,0,0.95226,0.9351,0.98405,0.87995,0.95226,0.9351,0.98405,0.86111,0.48937,0.81582,0.50607,1.05625,0,0.0008878,0.0008878,0.0008878
19,83.4854,0.52878,0.8409,0.55053,1.06486,0,0.93653,0.92224,0.96905,0.86109,0.93653,0.92224,0.96905,0.83234,0.4784,0.892,0.53558,1.03599,0,0.0008812,0.0008812,0.0008812
20,87.7701,0.55594,0.81678,0.59663,1.07696,0,0.94527,0.96094,0.97415,0.86842,0.94527,0.96094,0.97415,0.84586,0.48139,0.80975,0.53134,1.04129,0,0.0008746,0.0008746,0.0008746
21,92.0931,0.59835,0.91367,0.61838,1.08404,0,0.92579,0.97656,0.98348,0.85526,0.92579,0.97656,0.98348,0.84508,0.5525,0.88703,0.54567,1.11889,0,0.000868,0.000868,0.000868
22,96.2312,0.53831,0.83725,0.53737,1.0529,0,0.93935,0.96793,0.98514,0.90056,0.93935,0.96793,0.98514,0.86368,0.43166,0.83546,0.4526,1.00848,0,0.0008614,0.0008614,0.0008614
23,100.339,0.49799,0.76931,0.52765,1.02611,0,0.94615,0.96082,0.98562,0.88126,0.94615,0.96082,0.98562,0.86692,0.45542,0.72632,0.44345,1.02139,0,0.0008548,0.0008548,0.0008548
24,104.773,0.53354,0.7783,0.53145,1.04396,0,0.97182,0.9375,0.98582,0.89541,0.97182,0.9375,0.98582,0.86929,0.46118,0.73271,0.43547,1.02402,0,0.0008482,0.0008482,0.0008482
25,109.093,0.49066,0.78068,0.52209,1.03621,0,0.94548,0.97656,0.9849,0.88286,0.94548,0.97656,0.9849,0.86284,0.49041,0.7574,0.46138,1.04827,0,0.0008416,0.0008416,0.0008416
26,113.331,0.54142,0.84379,0.52737,1.04294,0,0.96739,0.94531,0.98054,0.89085,0.96739,0.94531,0.98054,0.87856,0.42754,0.74216,0.45813,0.98711,0,0.000835,0.000835,0.000835
27,117.637,0.49515,0.79393,0.4914,1.0398,0,0.98147,0.92969,0.97941,0.89632,0.98147,0.92969,0.97941,0.87461,0.40882,0.72245,0.44782,0.9899,0,0.0008284,0.0008284,0.0008284
28,121.839,0.51424,0.80124,0.50471,1.02653,0,0.95272,0.94466,0.97941,0.87724,0.95272,0.94466,0.97941,0.84838,0.46952,0.87215,0.44617,1.06082,0,0.0008218,0.0008218,0.0008218
29,126.119,0.52206,0.78498,0.4851,1.05338,0,0.94927,0.95312,0.98006,0.90196,0.94927,0.95312,0.98006,0.86533,0.4039,0.73333,0.42086,0.98639,0,0.0008152,0.0008152,0.0008152
30,130.676,0.49312,0.75685,0.52652,1.02625,0,0.94662,0.96983,0.9846,0.88566,0.94662,0.96983,0.9846,0.87047,0.46428,0.70448,0.45502,1.04651,0,0.0008086,0.0008086,0.0008086
31,134.803,0.49053,0.76875,0.51624,1.03366,0,0.95347,0.98438,0.98351,0.8807,0.95347,0.98438,0.98351,0.86312,0.45857,0.81117,0.41385,1.00535,0,0.000802,0.000802,0.000802
32,139.005,0.48871,0.7428,0.49672,1.01852,0,0.96729,0.97656,0.97422,0.88101,0.96729,0.97656,0.97422,0.8712,0.44499,0.69249,0.47262,1.00995,0,0.0007954,0.0007954,0.0007954
33,143.154,0.50056,0.77983,0.48118,0.99984,0,0.96918,0.98266,0.98915,0.91159,0.96918,0.98266,0.98915,0.8865,0.41663,0.70923,0.38727,1.00569,0,0.0007888,0.0007888,0.0007888
34,147.295,0.48181,0.75802,0.46238,1.01987,0,0.95417,0.98438,0.98818,0.90607,0.95417,0.98438,0.98818,0.88271,0.41204,0.71126,0.3755,1.0031,0,0.0007822,0.0007822,0.0007822
35,151.717,0.4619,0.73628,0.47681,1.01066,0,0.95453,0.98393,0.98714,0.90851,0.95453,0.98393,0.98714,0.8664,0.40916,0.72516,0.38128,1.02104,0,0.0007756,0.0007756,0.0007756
