新檔名,來源資料夾,原始圖片檔名,原始標註檔名
train_0001,132-all-trian.yolov11/train,100_jpg.rf.23de33ab214465e9d91d1e045f74b4d2.jpg,100_jpg.rf.23de33ab214465e9d91d1e045f74b4d2.txt
train_0002,132-all-trian.yolov11/train,101_jpg.rf.c6c5556b1543107d8b67026a47040dfe.jpg,101_jpg.rf.c6c5556b1543107d8b67026a47040dfe.txt
train_0003,132-all-trian.yolov11/train,102_jpg.rf.75e9de8f76cba09105d8b6937912fcb5.jpg,102_jpg.rf.75e9de8f76cba09105d8b6937912fcb5.txt
train_0004,132-all-trian.yolov11/train,106_jpg.rf.34045988d7d3b28551b9ef7c54a20763.jpg,106_jpg.rf.34045988d7d3b28551b9ef7c54a20763.txt
train_0005,132-all-trian.yolov11/train,107_jpg.rf.57b63c9b2735f2cbd19ee63f3505399d.jpg,107_jpg.rf.57b63c9b2735f2cbd19ee63f3505399d.txt
train_0006,132-all-trian.yolov11/train,107_jpg.rf.e398965148809bc365cdc86af683b72f.jpg,107_jpg.rf.e398965148809bc365cdc86af683b72f.txt
train_0007,132-all-trian.yolov11/train,109_jpg.rf.207ed6eca7c9b1e19cc98eb8c9626201.jpg,109_jpg.rf.207ed6eca7c9b1e19cc98eb8c9626201.txt
train_0008,132-all-trian.yolov11/train,109_jpg.rf.f9503f4d5634af5a7aa0cde6351e2569.jpg,109_jpg.rf.f9503f4d5634af5a7aa0cde6351e2569.txt
train_0009,132-all-trian.yolov11/train,10_jpg.rf.966931f02aec81efd3a9df07a4544820.jpg,10_jpg.rf.966931f02aec81efd3a9df07a4544820.txt
train_0010,132-all-trian.yolov11/train,110_jpg.rf.e5d2da42eaca331f82483e33e66b2d80.jpg,110_jpg.rf.e5d2da42eaca331f82483e33e66b2d80.txt
train_0011,132-all-trian.yolov11/train,112_jpg.rf.3259e4edd2e08b81beeda7d1c3478746.jpg,112_jpg.rf.3259e4edd2e08b81beeda7d1c3478746.txt
train_0012,132-all-trian.yolov11/train,112_jpg.rf.bf5c013f813cb5ee5e9bea7a5c58bcfc.jpg,112_jpg.rf.bf5c013f813cb5ee5e9bea7a5c58bcfc.txt
train_0013,132-all-trian.yolov11/train,113_jpg.rf.54f2ebf9bb2899cc47aed50c3ef6c2a1.jpg,113_jpg.rf.54f2ebf9bb2899cc47aed50c3ef6c2a1.txt
train_0014,132-all-trian.yolov11/train,114_jpg.rf.5fcb50f1f1fac182b78e02bed2b27b33.jpg,114_jpg.rf.5fcb50f1f1fac182b78e02bed2b27b33.txt
train_0015,132-all-trian.yolov11/train,116_jpg.rf.ca3a7ce16bb1b038416701d7ab66f825.jpg,116_jpg.rf.ca3a7ce16bb1b038416701d7ab66f825.txt
train_0016,132-all-trian.yolov11/train,117_jpg.rf.d2e2b3848824dabc021d8268b57823fc.jpg,117_jpg.rf.d2e2b3848824dabc021d8268b57823fc.txt
train_0017,132-all-trian.yolov11/train,118_jpg.rf.2e7851e3f357fd6667b838dd25c0578b.jpg,118_jpg.rf.2e7851e3f357fd6667b838dd25c0578b.txt
train_0018,132-all-trian.yolov11/train,11_jpg.rf.22bcd5635b30dff2f611b72befebd9ce.jpg,11_jpg.rf.22bcd5635b30dff2f611b72befebd9ce.txt
train_0019,132-all-trian.yolov11/train,122_jpg.rf.a38e1db3159855f88ee0c64320dfaa90.jpg,122_jpg.rf.a38e1db3159855f88ee0c64320dfaa90.txt
train_0020,132-all-trian.yolov11/train,123_jpg.rf.c2012fce0fce1437fe52cfc3c595e121.jpg,123_jpg.rf.c2012fce0fce1437fe52cfc3c595e121.txt
train_0021,132-all-trian.yolov11/train,124_jpg.rf.fa220927a5bb67b52ed7d379ab8299b0.jpg,124_jpg.rf.fa220927a5bb67b52ed7d379ab8299b0.txt
train_0022,132-all-trian.yolov11/train,125_jpg.rf.1bb401ddbc8ce68ee53fd662368bfa51.jpg,125_jpg.rf.1bb401ddbc8ce68ee53fd662368bfa51.txt
train_0023,132-all-trian.yolov11/train,126_jpg.rf.db2a2eaea54a1d566f4fe7843f24c0f4.jpg,126_jpg.rf.db2a2eaea54a1d566f4fe7843f24c0f4.txt
train_0024,132-all-trian.yolov11/train,128_jpg.rf.779b0cf231b4eedbaa0d881d62488994.jpg,128_jpg.rf.779b0cf231b4eedbaa0d881d62488994.txt
train_0025,132-all-trian.yolov11/train,129_jpg.rf.715a107d3225946ebcffad06f7529b32.jpg,129_jpg.rf.715a107d3225946ebcffad06f7529b32.txt
train_0026,132-all-trian.yolov11/train,12_jpg.rf.1a54dd46243cf2b522184aec855d8d8c.jpg,12_jpg.rf.1a54dd46243cf2b522184aec855d8d8c.txt
train_0027,132-all-trian.yolov11/train,12_jpg.rf.f31b5b6cc4adafb0ce1c2b2b6b596c8a.jpg,12_jpg.rf.f31b5b6cc4adafb0ce1c2b2b6b596c8a.txt
train_0028,132-all-trian.yolov11/train,131_jpg.rf.1d6894ce5c1dccd4b692cdd9c5f2818e.jpg,131_jpg.rf.1d6894ce5c1dccd4b692cdd9c5f2818e.txt
train_0029,132-all-trian.yolov11/train,132_jpg.rf.f3ecb2a88347caf89bb133accfa18b28.jpg,132_jpg.rf.f3ecb2a88347caf89bb133accfa18b28.txt
